# step, M, T, PO, AO
0.000000000000000000e+00 2.606474502980894448e-01 3.877478122003147898e-01 3.205626595119536182e-01 8.057165238994079548e-02
1.000000000000000000e+00 2.658691664711583247e-01 3.861840035387904546e-01 3.205666073397138716e-01 8.000937606044239425e-02
2.000000000000000000e+00 2.454609198401560555e-01 3.765021864274769037e-01 3.104732851803814198e-01 7.681241872188654396e-02
3.000000000000000000e+00 2.624146967236706818e-01 3.805323929015387852e-01 3.158394778842059658e-01 7.753845379139934213e-02
4.000000000000000000e+00 2.484053184375516476e-01 3.826327030452633116e-01 3.119173466418492247e-01 7.615264390609000067e-02
5.000000000000000000e+00 2.586357064389378513e-01 3.784329398864018090e-01 3.162792705610104615e-01 7.940043641765853755e-02
6.000000000000000000e+00 2.562947550938727836e-01 3.715965259846223390e-01 3.091418070554096120e-01 7.438462591730998774e-02
7.000000000000000000e+00 2.550724206002958905e-01 3.804678506335743560e-01 3.135414459900540685e-01 7.727161101443291713e-02
8.000000000000000000e+00 2.465930056790563429e-01 3.827287719947064515e-01 3.117254413623070097e-01 7.668400861737695307e-02
9.000000000000000000e+00 2.532883955402666087e-01 3.786256188651102583e-01 3.110008565174897655e-01 7.564209808004784819e-02
1.000000000000000000e+01 2.507633365574833406e-01 3.870091938853994495e-01 3.155312969204618900e-01 7.864083092217549753e-02
1.100000000000000000e+01 2.514563919283155924e-01 3.802763529418133337e-01 3.127747158714945241e-01 7.712880710556097030e-02
1.200000000000000000e+01 2.494404656707506218e-01 3.711712129905091473e-01 3.057916654248687416e-01 7.321825464817510731e-02
1.300000000000000000e+01 2.561323569922072663e-01 3.870575456828977967e-01 3.183631770735698696e-01 8.008485961547329168e-02
1.400000000000000000e+01 2.470329177241316621e-01 3.813110487723876951e-01 3.109440107187414482e-01 7.697165012362305880e-02
1.500000000000000000e+01 2.604643684491890765e-01 3.622631397605274861e-01 3.086414959461238339e-01 7.493979910944204015e-02
1.600000000000000000e+01 2.521721256377500442e-01 3.778835616358373062e-01 3.127578423348373882e-01 7.813879782704652444e-02
1.700000000000000000e+01 2.489494668173832803e-01 3.841866346839624136e-01 3.121144654302080990e-01 7.622146996048551060e-02
1.800000000000000000e+01 2.529113492863298562e-01 3.773473770618012701e-01 3.122895886820330480e-01 7.700860222762800911e-02
1.900000000000000000e+01 2.587947571290744597e-01 3.643691270617116507e-01 3.071064655765557982e-01 7.416993523855985870e-02
2.000000000000000000e+01 2.566200543439630666e-01 3.761330596372531310e-01 3.144029421367162680e-01 7.840567618726496102e-02
2.100000000000000000e+01 2.487188438549345904e-01 3.887827470804876562e-01 3.150639522245134438e-01 7.887077906398637372e-02
2.200000000000000000e+01 2.552811536230895628e-01 3.772063457372702988e-01 3.108594674595401841e-01 7.553551654501916568e-02
2.300000000000000000e+01 2.527266372501788538e-01 3.752419062373473224e-01 3.127760862390124852e-01 7.787963342508841258e-02
2.400000000000000000e+01 2.548347432407274127e-01 3.656622671780790368e-01 3.060506456109569617e-01 7.328363375372609623e-02
2.500000000000000000e+01 2.475369471734581994e-01 3.796071442405871688e-01 3.088252865757669108e-01 7.508488063322149575e-02
2.600000000000000000e+01 2.495222591395372946e-01 3.883106875924252077e-01 3.174439390500672364e-01 8.062532386587645261e-02
2.700000000000000000e+01 2.474880200739442149e-01 3.726765186048803247e-01 3.060118623672078986e-01 7.370019981891645644e-02
2.800000000000000000e+01 2.473473964069256015e-01 3.810512761149644212e-01 3.112906701876362314e-01 7.699267077615906674e-02
2.900000000000000000e+01 2.482764533120804251e-01 3.859347738383273052e-01 3.142395144738392987e-01 7.818461875837667829e-02
3.000000000000000000e+01 2.508633836095295888e-01 3.698057019813678070e-01 3.061300044891167582e-01 7.356028725904034671e-02
3.100000000000000000e+01 2.492273898113765429e-01 3.772484649668538803e-01 3.110380975676289572e-01 7.631369824891409692e-02
3.200000000000000000e+01 2.474991598129813175e-01 3.867467214698050437e-01 3.135909707840159322e-01 7.774150926865708300e-02
3.300000000000000000e+01 2.526561721155951012e-01 3.725026855437481577e-01 3.088146801371983163e-01 7.474007126293641390e-02
3.400000000000000000e+01 2.557882933039817841e-01 3.795186837271062874e-01 3.153665065503165055e-01 7.862910308043663532e-02
3.500000000000000000e+01 2.528398128630462427e-01 3.732605743552616095e-01 3.069539437789448044e-01 7.274123388010750313e-02
3.600000000000000000e+01 2.504776240264758869e-01 3.800431552582531070e-01 3.104010346857700720e-01 7.558242340194759601e-02
3.700000000000000000e+01 2.498048395756725659e-01 3.842483028189346284e-01 3.153312751789635326e-01 7.931974897098864608e-02
3.800000000000000000e+01 2.503107841808186462e-01 3.783931570326645177e-01 3.093834979223326620e-01 7.471446383223662169e-02
3.900000000000000000e+01 2.519889786594503578e-01 3.775119761141164654e-01 3.121047473470459632e-01 7.644857473593630326e-02
4.000000000000000000e+01 2.432869776346004431e-01 3.780147423763823289e-01 3.086691553120677334e-01 7.623447686315165672e-02
4.100000000000000000e+01 2.487728271954616210e-01 3.874701270752448634e-01 3.148027491272092915e-01 7.854170723484843464e-02
4.200000000000000000e+01 2.416985719320086656e-01 3.849820184579292315e-01 3.107754763422056477e-01 7.694271712922895468e-02
4.300000000000000000e+01 2.499992904933699966e-01 3.770105648313835101e-01 3.099702254807752411e-01 7.561079081404104008e-02
4.400000000000000000e+01 2.396893636040653419e-01 3.823546234224333706e-01 3.096855512715426251e-01 7.696079967553498546e-02
4.500000000000000000e+01 2.450774311363051461e-01 3.871454420705816579e-01 3.128873077708684280e-01 7.761393215570999704e-02
4.600000000000000000e+01 2.423423087530406916e-01 3.846468221533095866e-01 3.103004682217356258e-01 7.654346300950176651e-02
4.700000000000000000e+01 2.473228770319333414e-01 3.804125180390832694e-01 3.109489569128336406e-01 7.635240569280576928e-02
4.800000000000000000e+01 2.441816724480891376e-01 3.779574526206991303e-01 3.088818251587932551e-01 7.555372696792445053e-02
4.900000000000000000e+01 2.431843895662026966e-01 3.843395744744323439e-01 3.112736224114166506e-01 7.731390371193991307e-02
5.000000000000000000e+01 2.482438868708009005e-01 3.845909502818865566e-01 3.142029473777346871e-01 7.809928988079978263e-02
5.100000000000000000e+01 2.491862488032894896e-01 3.756082013197584724e-01 3.095559863600083617e-01 7.561571248757681385e-02
5.200000000000000000e+01 2.480135938218237524e-01 3.772354116344508457e-01 3.114861676603807306e-01 7.713448872068334738e-02
5.300000000000000000e+01 2.430927856147570010e-01 3.805246112250968427e-01 3.089583181745012563e-01 7.577154310463934950e-02
5.400000000000000000e+01 2.448482251068705984e-01 3.846194814984637556e-01 3.108817941813262209e-01 7.646256769613979376e-02
5.500000000000000000e+01 2.504604446155558328e-01 3.811725083406057313e-01 3.122392664521744243e-01 7.679901678454309488e-02
5.600000000000000000e+01 2.448494358311856245e-01 3.767530005121437764e-01 3.076539216697875556e-01 7.486834226096261702e-02
5.700000000000000000e+01 2.465530336670903599e-01 3.814188535693425752e-01 3.102471117649728827e-01 7.605564660133240507e-02
5.800000000000000000e+01 2.425050795571055962e-01 3.874014687328669604e-01 3.131170472933066939e-01 7.821487384408898347e-02
5.900000000000000000e+01 2.534618432357643725e-01 3.726273573034165620e-01 3.091629499485801791e-01 7.505878279359329275e-02
6.000000000000000000e+01 2.464000961728530781e-01 3.798092025191432963e-01 3.111796367115726714e-01 7.703734644466309067e-02
6.100000000000000000e+01 2.463744794687427464e-01 3.801461821263497076e-01 3.114228481655080261e-01 7.719625059970819381e-02
6.200000000000000000e+01 2.500445140315709081e-01 3.751182277506948659e-01 3.091488260922081177e-01 7.502883777070534776e-02
6.300000000000000000e+01 2.465727757300366085e-01 3.805570142341999085e-01 3.123623380358732105e-01 7.778681472777215777e-02
6.400000000000000000e+01 2.451576861325307499e-01 3.788068150318701366e-01 3.098010520134769075e-01 7.624846294259907120e-02
6.500000000000000000e+01 2.471518591389060826e-01 3.825545208866379387e-01 3.120558041009566796e-01 7.680664518030883015e-02
6.600000000000000000e+01 2.458865756080916842e-01 3.801154296749904571e-01 3.107489081442404988e-01 7.657424669260043393e-02
6.700000000000000000e+01 2.431289694617687069e-01 3.833381704336641937e-01 3.095553414653898772e-01 7.584134784576235244e-02
6.800000000000000000e+01 2.491070036015113898e-01 3.819475173911391908e-01 3.133376317960900881e-01 7.805890889178496161e-02
6.900000000000000000e+01 2.469270198054745458e-01 3.777962759998355069e-01 3.096733661636333901e-01 7.606513661827973838e-02
7.000000000000000000e+01 2.469543996081034476e-01 3.868907076358587549e-01 3.121487077780558117e-01 7.673280015635502993e-02
7.100000000000000000e+01 2.480796650766560196e-01 3.817202803165884450e-01 3.148101577986394672e-01 7.928130317234910462e-02
7.200000000000000000e+01 2.473659275471739583e-01 3.778613484815854795e-01 3.084795892717443477e-01 7.461210122529499111e-02
7.300000000000000000e+01 2.514966141855672355e-01 3.876834694050402264e-01 3.157728048678749011e-01 7.887260023346115423e-02
7.400000000000000000e+01 2.465346653688137435e-01 3.785298187746262699e-01 3.093861918702899838e-01 7.576976614159702805e-02
7.500000000000000000e+01 2.480522934203756580e-01 3.725838949888445883e-01 3.073431202349160563e-01 7.431036697321341533e-02
7.600000000000000000e+01 2.526101288624739150e-01 3.832251084518335515e-01 3.151508205120174266e-01 7.820218399471623449e-02
7.700000000000000000e+01 2.510711768998137305e-01 3.703618367388099575e-01 3.073402159879592421e-01 7.438839316544532121e-02
7.800000000000000000e+01 2.524486478542362633e-01 3.798773163867923408e-01 3.128298471401099734e-01 7.672906472797608179e-02
7.900000000000000000e+01 2.475885200935392660e-01 3.848769895080440540e-01 3.150983653301242526e-01 7.894906131663181892e-02
8.000000000000000000e+01 2.504202704687048531e-01 3.694341725917058561e-01 3.059677332009810291e-01 7.338691552463078027e-02
8.100000000000000000e+01 2.461828074896090790e-01 3.773283420441240765e-01 3.085807163790117436e-01 7.508721799751882919e-02
8.200000000000000000e+01 2.469733730020684526e-01 3.877482919240411441e-01 3.161422555512138355e-01 8.001683542940363214e-02
