# step, M, T, PO, AO
0.000000000000000000e+00 2.509258321617965914e-01 3.781272268374323842e-01 3.124014156777450424e-01 7.684069087406558696e-02
1.000000000000000000e+00 2.709715010899715892e-01 3.688521361957687317e-01 3.148046433895412832e-01 7.709878515428908452e-02
2.000000000000000000e+00 2.667630202807625417e-01 3.646249129781490850e-01 3.127198350406302230e-01 7.652798686327477728e-02
3.000000000000000000e+00 2.625785257358139724e-01 3.713762181624920000e-01 3.137704251609412798e-01 7.774207949292516462e-02
4.000000000000000000e+00 2.588000331729521930e-01 3.770160515928893119e-01 3.134553749200150730e-01 7.635594925175087644e-02
5.000000000000000000e+00 2.547534625106008255e-01 3.801594543242236557e-01 3.138168237171888864e-01 7.682911170875678097e-02
6.000000000000000000e+00 2.598073638071826674e-01 3.761223223326920495e-01 3.140386625382025620e-01 7.753085182832680777e-02
7.000000000000000000e+00 2.590865052878757457e-01 3.745541345649842091e-01 3.116195097032505301e-01 7.558593442144073693e-02
8.000000000000000000e+00 2.536748126079017007e-01 3.863180519995267903e-01 3.147596270223753656e-01 7.753161952264925327e-02
9.000000000000000000e+00 2.578495327817432736e-01 3.766033514179211172e-01 3.144095704691458604e-01 7.773769676650382765e-02
1.000000000000000000e+01 2.620931966864388230e-01 3.726303229026019515e-01 3.154225780245675237e-01 7.897456417681580909e-02
1.100000000000000000e+01 2.582839461445292084e-01 3.693434458869749859e-01 3.112867643220227354e-01 7.615768504280134854e-02
1.200000000000000000e+01 2.575819557734232434e-01 3.755843882802464284e-01 3.123105953976114124e-01 7.605720302279389555e-02
1.300000000000000000e+01 2.598485956103906425e-01 3.838572066133527638e-01 3.173855088106041222e-01 7.834393897566582776e-02
1.400000000000000000e+01 2.627988089804615957e-01 3.767041323789344087e-01 3.143857124295754701e-01 7.707157222028432342e-02
1.500000000000000000e+01 2.575201782216569035e-01 3.627553401569364455e-01 3.067856652724008093e-01 7.424552863310862616e-02
1.600000000000000000e+01 2.573493536485222943e-01 3.853813159145586531e-01 3.187094090096984633e-01 8.006457805583078180e-02
1.700000000000000000e+01 2.558357619611262845e-01 3.840879445419751459e-01 3.158408487651011010e-01 7.781128704586859346e-02
1.800000000000000000e+01 2.632625708243773177e-01 3.670259306780965791e-01 3.112633781540981026e-01 7.628063368625753737e-02
1.900000000000000000e+01 2.590117692646520253e-01 3.757568873195216153e-01 3.136694622216987804e-01 7.678751540344874726e-02
2.000000000000000000e+01 2.554189848102714766e-01 3.678700886456470753e-01 3.081165980100238344e-01 7.460726682407198274e-02
2.100000000000000000e+01 2.599554221585581026e-01 3.683309496966516994e-01 3.085336890625592909e-01 7.342895443540686795e-02
2.200000000000000000e+01 2.589584462925074715e-01 3.849461813952180789e-01 3.194462899146138790e-01 8.079066062749290511e-02
2.300000000000000000e+01 2.513441155274259153e-01 3.815486913868686436e-01 3.119382204900721378e-01 7.580506945246695549e-02
2.400000000000000000e+01 2.606360764243201289e-01 3.642844025018809884e-01 3.081296140303089182e-01 7.414560873671099950e-02
2.500000000000000000e+01 2.641789412883465138e-01 3.743337849287395325e-01 3.175883363327139386e-01 8.045941930183003743e-02
