# step, M, T, PO, AO
0.000000000000000000e+00 2.825352242589360130e-01 3.921246578580572240e-01 3.334801114504638564e-01 8.672005543097038860e-02
1.000000000000000000e+00 2.979436322316302288e-01 3.735143235956711605e-01 3.300323549103678644e-01 8.455861409950748975e-02
2.000000000000000000e+00 2.908499768859438284e-01 3.749476363206397100e-01 3.284036882846784189e-01 8.472032765509718288e-02
3.000000000000000000e+00 2.921480432009548878e-01 3.623717644044047725e-01 3.215630337275206529e-01 8.168896007691978101e-02
4.000000000000000000e+00 2.903978461869194949e-01 3.550776045074051090e-01 3.184420043179326809e-01 7.985305089425392966e-02
5.000000000000000000e+00 3.029586918482224389e-01 3.611254851908121122e-01 3.321450859432297231e-01 9.022561397904016456e-02
6.000000000000000000e+00 2.931731624485292009e-01 3.455621249787113047e-01 3.166083732960079944e-01 8.136421184750808333e-02
7.000000000000000000e+00 2.936217878390082192e-01 3.539349377241010619e-01 3.186878362122244623e-01 8.096516626177230336e-02
8.000000000000000000e+00 2.942482009867101178e-01 3.570748949155072571e-01 3.211849548019308775e-01 8.220389229908853235e-02
9.000000000000000000e+00 2.998002366057925805e-01 3.490267084435080269e-01 3.187015816102788945e-01 8.221421123953465138e-02
1.000000000000000000e+01 2.906587982405844928e-01 3.571992358286589786e-01 3.212376839865261346e-01 8.322726078839093322e-02
1.100000000000000000e+01 3.004387089164035629e-01 3.584065741932589422e-01 3.223951202375045511e-01 8.291844168967776874e-02
1.200000000000000000e+01 2.866317534615029916e-01 3.511841308167799047e-01 3.130881378885838062e-01 7.803240499870939262e-02
1.300000000000000000e+01 2.879984512915619854e-01 3.656173548403323093e-01 3.222334901365108695e-01 8.218038998821391994e-02
1.400000000000000000e+01 2.901093962334898579e-01 3.690588116909273575e-01 3.266323942902832345e-01 8.474440652077758207e-02
1.500000000000000000e+01 2.838051282132965092e-01 3.575320491020119729e-01 3.130520526751157107e-01 7.754061873058343268e-02
1.600000000000000000e+01 2.880485435106936443e-01 3.601009543908274546e-01 3.193075234576040478e-01 8.131138812045740627e-02
1.700000000000000000e+01 2.908711920246371818e-01 3.612215195931332001e-01 3.184238975516467951e-01 7.926692358881493039e-02
1.800000000000000000e+01 2.905772301940889313e-01 3.717271129938368723e-01 3.200771208522132927e-01 7.932567147717678457e-02
1.900000000000000000e+01 2.900167062867789469e-01 3.734768117424841494e-01 3.249305374870383734e-01 8.273236555937135694e-02
2.000000000000000000e+01 3.006906043833804665e-01 3.696559213673206168e-01 3.316527174273594114e-01 8.822318566509845805e-02
2.100000000000000000e+01 2.986788365376114029e-01 3.487494814053052616e-01 3.180349559492236522e-01 8.102290838988701616e-02
2.200000000000000000e+01 2.962510167829986996e-01 3.672213911273435327e-01 3.244461860989287239e-01 8.281566090403025271e-02
2.300000000000000000e+01 3.007030146670499060e-01 3.669311533206676690e-01 3.307504074298134311e-01 8.768684507852175791e-02
2.400000000000000000e+01 2.950131144553944096e-01 3.549121887612956550e-01 3.219874982611586889e-01 8.437762224665096289e-02
2.500000000000000000e+01 2.965099980389002132e-01 3.654248080164472778e-01 3.224254552730249079e-01 8.091657377125860418e-02
2.600000000000000000e+01 2.930756534231609978e-01 3.600028721418552236e-01 3.191883855173749396e-01 8.026764874010761108e-02
2.700000000000000000e+01 2.997041220007148343e-01 3.630224243023218444e-01 3.227759900565204676e-01 8.155292972057864853e-02
2.800000000000000000e+01 2.962618926577055278e-01 3.779588649755407648e-01 3.299052357220687570e-01 8.555065991976690265e-02
2.900000000000000000e+01 2.992993293024666102e-01 3.685125154893817978e-01 3.278537143354075534e-01 8.476575405390718299e-02
3.000000000000000000e+01 2.939226354991562595e-01 3.626376260248683203e-01 3.244761695211856867e-01 8.373698600393714164e-02
3.100000000000000000e+01 2.945924348188572184e-01 3.692835202736999278e-01 3.260059073735942503e-01 8.395076775843057781e-02
3.200000000000000000e+01 2.993218654251793565e-01 3.544679470458355075e-01 3.216253089623958838e-01 8.211699240464376270e-02
3.300000000000000000e+01 2.965717878655993456e-01 3.599823924660275343e-01 3.224050656090486910e-01 8.201599271217435705e-02
3.400000000000000000e+01 3.034094389930416802e-01 3.730258045778018228e-01 3.333769907336844862e-01 8.736156098202046971e-02
3.500000000000000000e+01 2.960520815570850672e-01 3.588660008672336366e-01 3.221650806009613843e-01 8.276514785642152816e-02
3.600000000000000000e+01 2.917682557012635236e-01 3.611739860478792585e-01 3.217887753266098216e-01 8.231332749420877670e-02
3.700000000000000000e+01 2.896717162883045704e-01 3.624576510945081154e-01 3.201497737625663698e-01 8.033687097069086569e-02
3.800000000000000000e+01 2.983130154779818355e-01 3.663395983702045777e-01 3.275675259848055410e-01 8.507750767869581843e-02
3.900000000000000000e+01 3.015981240842398048e-01 3.788518672475381655e-01 3.364298757268842088e-01 9.068294533869730722e-02
4.000000000000000000e+01 3.038192456165101918e-01 3.646988376500044371e-01 3.325361815246540287e-01 8.998973124569448201e-02
4.100000000000000000e+01 2.995118220691893041e-01 3.578316402756386294e-01 3.243304209798468785e-01 8.456247350863144163e-02
4.200000000000000000e+01 2.975622103613073111e-01 3.671877768475968473e-01 3.248272724588628368e-01 8.340640096346146892e-02
4.300000000000000000e+01 3.001530612509164531e-01 3.738135597057960502e-01 3.304072118737121366e-01 8.560942345404065623e-02
4.400000000000000000e+01 2.954175950108415827e-01 3.477832092539348552e-01 3.142729305279236551e-01 7.861922226013828841e-02
4.500000000000000000e+01 2.923418008833642556e-01 3.524341527849681466e-01 3.175731380571590323e-01 7.981784236578953751e-02
4.600000000000000000e+01 3.016167520879853847e-01 3.728020996039094204e-01 3.297968256708244672e-01 8.476191276976374755e-02
4.700000000000000000e+01 2.995463421977384577e-01 3.692276023165402821e-01 3.304068356404122886e-01 8.637299351926491786e-02
4.800000000000000000e+01 2.968458806682557904e-01 3.576214877255250446e-01 3.209666632560408406e-01 8.228085364598591855e-02
4.900000000000000000e+01 2.942847049636535539e-01 3.617914931028512471e-01 3.239284247042988896e-01 8.350986714508740194e-02
5.000000000000000000e+01 2.989074035419525543e-01 3.623865567303615753e-01 3.237063450502498663e-01 8.413385970660203217e-02
5.100000000000000000e+01 2.888450494399171786e-01 3.628857648697125238e-01 3.208540184353331215e-01 8.201897338965830064e-02
5.200000000000000000e+01 2.928484547589404463e-01 3.727395726438722523e-01 3.316436773096267387e-01 8.809373492959488017e-02
5.300000000000000000e+01 2.957454749415332484e-01 3.585752665829521346e-01 3.260046437673198017e-01 8.579845254193385617e-02
5.400000000000000000e+01 2.948823796959401111e-01 3.602853253267745415e-01 3.242899230013170375e-01 8.453023438138740353e-02
5.500000000000000000e+01 2.996628496754267790e-01 3.557973914321725384e-01 3.233922145304628515e-01 8.414198276150930411e-02
5.600000000000000000e+01 3.057051770918428613e-01 3.745208173810499197e-01 3.327674484974091351e-01 8.745142593278670828e-02
5.700000000000000000e+01 3.000136630723495568e-01 3.802737488967968815e-01 3.326578502894007028e-01 8.624004838290622033e-02
5.800000000000000000e+01 3.063666978736542257e-01 3.735164390035875526e-01 3.327579640484838452e-01 8.657489989692129795e-02
5.900000000000000000e+01 3.026808731108632244e-01 3.675519233544501940e-01 3.294540540967476616e-01 8.539994098923675558e-02
6.000000000000000000e+01 2.940132742303546709e-01 3.626463295276319831e-01 3.215903561876123362e-01 8.012411186556728238e-02
6.100000000000000000e+01 2.979479830098776261e-01 3.492009470551321604e-01 3.171916811741314346e-01 8.020768371851422218e-02
6.200000000000000000e+01 2.885806776262950235e-01 3.499306544418208098e-01 3.103851045899142513e-01 7.513141570387993351e-02
6.300000000000000000e+01 2.915342730396818793e-01 3.741267716943837973e-01 3.276717525705908907e-01 8.346186428981938743e-02
6.400000000000000000e+01 2.997757909888923988e-01 3.770052250613438183e-01 3.350204746024831870e-01 8.829588161202234220e-02
6.500000000000000000e+01 2.970014047291830162e-01 3.682587779071005984e-01 3.283278807029231805e-01 8.449623520480220584e-02
6.600000000000000000e+01 3.029632134033720670e-01 3.714466021043140165e-01 3.311206234895227030e-01 8.580461755482310382e-02
6.700000000000000000e+01 3.014345714283218625e-01 3.679439841850388193e-01 3.287772084254465543e-01 8.456337783860989887e-02
6.800000000000000000e+01 3.014137502801990665e-01 3.540231444799351035e-01 3.204515549038454703e-01 8.219329094676652847e-02
6.900000000000000000e+01 2.973263200015744956e-01 3.710856212174491464e-01 3.269642453986422170e-01 8.303269983955613442e-02
7.000000000000000000e+01 2.989812355085809115e-01 3.654760375657348792e-01 3.286060459230878972e-01 8.575511859848300444e-02
7.100000000000000000e+01 3.002457132366586068e-01 3.742742672153507311e-01 3.310533446659497114e-01 8.643829040174749734e-02
7.200000000000000000e+01 3.003684692302630022e-01 3.654911835252401264e-01 3.270550930041615789e-01 8.474005828884478841e-02
7.300000000000000000e+01 3.021036921611008896e-01 3.600323217877826054e-01 3.251488781696406649e-01 8.449772083769452324e-02
7.400000000000000000e+01 2.973495412213835176e-01 3.566913875038769666e-01 3.213185076443854649e-01 8.311146208772002275e-02
7.500000000000000000e+01 3.010307984430391492e-01 3.599021679029112408e-01 3.256085171771734843e-01 8.440113514540803497e-02
7.600000000000000000e+01 3.100121381990518232e-01 3.729324964153536426e-01 3.389741697922584174e-01 9.264038216391917713e-02
7.700000000000000000e+01 2.975690130985584880e-01 3.576686300839552746e-01 3.245628370444829658e-01 8.419553013795177954e-02
7.800000000000000000e+01 2.920230577916973491e-01 3.562740670183358604e-01 3.191334594649123391e-01 8.160120438567847190e-02
7.900000000000000000e+01 2.916367318227642835e-01 3.524985527838057076e-01 3.166030342172768686e-01 7.897110177529903519e-02
8.000000000000000000e+01 2.949287890471822271e-01 3.591411545673449668e-01 3.234099609890630500e-01 8.276181630455192728e-02
8.100000000000000000e+01 2.866855400897750372e-01 3.713827840924692758e-01 3.239838328192364836e-01 8.204070443127314816e-02
8.200000000000000000e+01 2.900853160073760817e-01 3.537072657835351741e-01 3.171714800777101217e-01 7.998624262864056922e-02
8.300000000000000000e+01 2.982622518776514298e-01 3.781251288224120599e-01 3.367306863064506439e-01 9.054636819194039621e-02
8.400000000000000000e+01 2.897264136733358475e-01 3.612479080542989607e-01 3.212604201809740045e-01 8.223240717061841565e-02
8.500000000000000000e+01 2.990023779149212912e-01 3.558771217929495023e-01 3.266263923887242626e-01 8.754643803164474658e-02
8.600000000000000000e+01 2.949139571735336918e-01 3.535109098131328231e-01 3.202357008764062929e-01 8.241891185281208232e-02
8.700000000000000000e+01 2.845131620948772033e-01 3.674029790510565663e-01 3.217472918937826498e-01 8.168398313628572049e-02
8.800000000000000000e+01 2.729244165574687409e-01 3.725414865463952951e-01 3.167874844116336797e-01 7.765923165079308133e-02
8.900000000000000000e+01 2.735611033794460578e-01 3.774673542002328075e-01 3.217472015491777415e-01 8.090575735667915325e-02
9.000000000000000000e+01 2.723012716610616613e-01 3.719140897110803090e-01 3.198468577525660494e-01 8.009448659727508302e-02
9.100000000000000000e+01 2.751329680163326907e-01 3.697962463737120564e-01 3.183684683297907103e-01 7.901780545728070981e-02
9.200000000000000000e+01 2.872191300312484374e-01 3.783874933722135570e-01 3.269951545233915624e-01 8.422925715977847005e-02
9.300000000000000000e+01 2.786586653598122076e-01 3.705863242479781050e-01 3.200668540449415067e-01 7.987297225537143275e-02
9.400000000000000000e+01 2.820258687653558471e-01 3.647590801244265934e-01 3.210990861311347477e-01 8.107521963561142853e-02
9.500000000000000000e+01 2.893274938346900305e-01 3.659833254867064234e-01 3.242556809989029509e-01 8.274684046731828335e-02
9.600000000000000000e+01 2.917818862703331351e-01 3.674006652213533397e-01 3.266322836187660061e-01 8.417589438737976826e-02
9.700000000000000000e+01 2.989714931694344435e-01 3.717505576136468370e-01 3.321930771003480110e-01 8.833452649296397174e-02
9.800000000000000000e+01 2.998356593703264683e-01 3.671059964054346203e-01 3.291354585991923543e-01 8.760289472152099632e-02
9.900000000000000000e+01 2.991014512718148111e-01 3.643105210770967162e-01 3.248796699206495942e-01 8.331930402631948507e-02
1.000000000000000000e+02 3.011141404392950749e-01 3.638222879694825163e-01 3.287021843085685679e-01 8.539594994017613017e-02
1.010000000000000000e+02 3.040664519303049595e-01 3.626670831730713918e-01 3.304750151361908195e-01 8.896093420350714709e-02
1.020000000000000000e+02 2.972663790958809393e-01 3.639615698437074220e-01 3.269472184354459410e-01 8.548945824402359728e-02
1.030000000000000000e+02 2.974392303949077165e-01 3.669962668859647614e-01 3.261903495541917386e-01 8.393835737079541337e-02
1.040000000000000000e+02 2.972930374140155818e-01 3.667972057148305431e-01 3.292294853116993769e-01 8.637310651480339940e-02
1.050000000000000000e+02 2.972216027744387090e-01 3.490716605321797505e-01 3.152170925680602420e-01 7.854934297304194679e-02
1.060000000000000000e+02 2.915260000490734749e-01 3.652576813441040793e-01 3.228166082514445367e-01 8.176983185144987010e-02
1.070000000000000000e+02 2.965325689072293436e-01 3.684258566492031872e-01 3.283634053303230438e-01 8.563864212284960642e-02
1.080000000000000000e+02 2.925503473409858390e-01 3.584190805254682255e-01 3.196593400725676881e-01 8.094405561027501195e-02
1.090000000000000000e+02 3.010629371106904872e-01 3.580841526335414859e-01 3.238127672201442375e-01 8.341655717557194816e-02
1.100000000000000000e+02 2.966099608777762464e-01 3.643910169440046642e-01 3.255331709769774262e-01 8.473344308443114814e-02
1.110000000000000000e+02 3.038201757719447560e-01 3.707578000710360921e-01 3.319508715054467762e-01 8.767058954426543149e-02
1.120000000000000000e+02 2.952915533618765132e-01 3.615721228727365455e-01 3.210088596642405312e-01 8.111418715091062159e-02
1.130000000000000000e+02 3.047195767979367087e-01 3.638225310711585281e-01 3.313102368195848246e-01 8.752068295589204849e-02
1.140000000000000000e+02 3.083616525043498258e-01 3.683672267904081754e-01 3.354876300178594173e-01 9.001675548271587113e-02
1.150000000000000000e+02 3.054093129093843895e-01 3.744566088688022765e-01 3.392315367542375615e-01 9.270844844078829361e-02
1.160000000000000000e+02 3.089745426051554444e-01 3.708439148066130508e-01 3.370157251929309372e-01 9.071210881935515280e-02
1.170000000000000000e+02 2.975019257860136435e-01 3.644345043627711389e-01 3.278981769934038448e-01 8.558490598394513649e-02
1.180000000000000000e+02 2.980197847641267161e-01 3.644589346882159964e-01 3.267280928715577959e-01 8.480880172151378238e-02
1.190000000000000000e+02 3.028174990675818190e-01 3.728843532839590802e-01 3.326615585548445830e-01 8.818852033067658969e-02
1.200000000000000000e+02 3.027458896032628743e-01 3.694933940483622337e-01 3.302384640433723706e-01 8.621189333427331514e-02
1.210000000000000000e+02 3.014569095005698030e-01 3.739076564244272483e-01 3.330121021270716075e-01 8.760095985021143505e-02
1.220000000000000000e+02 2.993088083902196717e-01 3.680629980703579718e-01 3.266730632192914041e-01 8.356087677441992323e-02
1.230000000000000000e+02 2.983432286352513119e-01 3.585390364021573406e-01 3.221373362851123190e-01 8.218057365714676044e-02
1.240000000000000000e+02 3.004102264712973369e-01 3.545510323726757118e-01 3.224949927586228116e-01 8.504870627714639086e-02
1.250000000000000000e+02 2.931686864717190644e-01 3.630210367452512688e-01 3.237302443957638109e-01 8.380256667903462908e-02
1.260000000000000000e+02 2.921419506029077628e-01 3.785466691686212304e-01 3.323653689513915155e-01 8.812192625191972439e-02
1.270000000000000000e+02 2.915825439174597467e-01 3.605773481949045012e-01 3.211508031929409812e-01 8.190317093964250006e-02
1.280000000000000000e+02 2.958952527014323541e-01 3.588530485953488336e-01 3.228371981492548781e-01 8.372658629919921269e-02
1.290000000000000000e+02 2.865878689824523096e-01 3.649094933741814373e-01 3.195457152192132666e-01 8.024694951533994924e-02
1.300000000000000000e+02 3.009134165079723755e-01 3.634232213130710321e-01 3.310034050720565002e-01 8.850460553636113614e-02
1.310000000000000000e+02 3.001038523126657864e-01 3.578736072462262996e-01 3.258005306771772358e-01 8.568136493717598556e-02
