# step, M, T, PO, AO
0.000000000000000000e+00 2.860935628479445714e-01 3.759026014632849133e-01 3.271311088389529109e-01 8.339213821400465187e-02
1.000000000000000000e+00 2.929549349328768315e-01 3.695717730152729974e-01 3.259459608510231199e-01 8.347678446261980190e-02
2.000000000000000000e+00 2.949292653152244537e-01 3.581077368310857656e-01 3.232381659344125691e-01 8.292584301139055425e-02
3.000000000000000000e+00 2.846706353867860528e-01 3.634086921075823096e-01 3.188019063698084299e-01 7.951960046274197946e-02
4.000000000000000000e+00 2.918610899202347397e-01 3.692265981857272283e-01 3.264001740505702021e-01 8.469131234203836067e-02
5.000000000000000000e+00 2.872038720810057844e-01 3.581489020245516297e-01 3.178048403570488678e-01 7.962649667002136278e-02
6.000000000000000000e+00 2.870948439359543025e-01 3.703428508286409904e-01 3.230570277585526062e-01 8.119087892949905516e-02
7.000000000000000000e+00 2.708629465468317399e-01 3.817850698485460992e-01 3.214478257085905399e-01 8.066861205440523097e-02
8.000000000000000000e+00 2.782967162197095834e-01 3.737288713765453685e-01 3.217682326681944316e-01 8.075725961119867291e-02
9.000000000000000000e+00 2.854973110513104317e-01 3.596159842577320020e-01 3.156073761316281479e-01 7.709994336340203480e-02
1.000000000000000000e+01 2.881973989465133057e-01 3.614595911664530425e-01 3.177085455649129031e-01 7.837192893761024681e-02
1.100000000000000000e+01 2.928725430261765461e-01 3.690243894181186590e-01 3.277530128103414153e-01 8.476622216247442498e-02
1.200000000000000000e+01 2.906692348529612557e-01 3.559601059116429544e-01 3.187457802676639251e-01 8.087305907030001295e-02
1.300000000000000000e+01 2.934313018014556018e-01 3.667177827316626115e-01 3.245106419593514202e-01 8.384987845265728934e-02
1.400000000000000000e+01 2.910475202993885180e-01 3.637052761375367815e-01 3.245608220596208904e-01 8.364912992296524852e-02
1.500000000000000000e+01 2.938839268149051609e-01 3.543435427320561493e-01 3.190481546601536267e-01 8.128880856155201728e-02
1.600000000000000000e+01 2.907001437573120128e-01 3.614693794321331977e-01 3.227016462742575698e-01 8.252443312675267206e-02
1.700000000000000000e+01 2.999683152089451244e-01 3.614958861084233699e-01 3.224549845306948770e-01 8.196156993340603103e-02
1.800000000000000000e+01 3.013427719881841549e-01 3.719310650996440204e-01 3.312057089645791264e-01 8.604763975329210446e-02
1.900000000000000000e+01 3.009802612617862305e-01 3.671791173048253309e-01 3.277146652977113717e-01 8.382289330375969350e-02
2.000000000000000000e+01 2.977602617947950892e-01 3.628577143980916686e-01 3.242704762298768140e-01 8.196657739904888995e-02
2.100000000000000000e+01 2.955551453620087754e-01 3.669076963619518628e-01 3.248963792631227587e-01 8.198097587145436460e-02
2.200000000000000000e+01 3.069169967480701589e-01 3.679987837157736585e-01 3.305036444622818648e-01 8.642246992806162931e-02
2.300000000000000000e+01 2.934758783087165757e-01 3.690111106352446102e-01 3.268480814663592415e-01 8.424359495717204105e-02
2.400000000000000000e+01 2.992750484245436104e-01 3.558625156065077233e-01 3.224672966398625107e-01 8.324589907818802370e-02
2.500000000000000000e+01 3.019603027346544621e-01 3.524488734725691463e-01 3.234459559943032025e-01 8.572766719688018622e-02
2.600000000000000000e+01 2.988536835258984170e-01 3.629679127399427774e-01 3.249901089095188489e-01 8.522000888334502200e-02
2.700000000000000000e+01 2.950226297300664324e-01 3.600035922188919990e-01 3.235691414684307432e-01 8.497293260528604453e-02
2.800000000000000000e+01 3.023853753165186564e-01 3.702291926358466378e-01 3.344228508364600616e-01 8.994267679245754321e-02
2.900000000000000000e+01 2.960634140576239304e-01 3.519111845387594695e-01 3.211524177535465263e-01 8.473704217140709538e-02
3.000000000000000000e+01 2.989080884372885549e-01 3.686526591614923687e-01 3.298591449422917377e-01 8.654819910244732073e-02
3.100000000000000000e+01 2.972687329995046257e-01 3.704267337306932362e-01 3.287204064836722894e-01 8.589160701298742540e-02
3.200000000000000000e+01 2.975369960496738742e-01 3.647494281693388629e-01 3.259746162938296221e-01 8.466388132244717646e-02
3.300000000000000000e+01 3.000958946826250417e-01 3.624359146164145562e-01 3.262129690413524408e-01 8.585857841108324173e-02
