# step, M, T, PO, AO
0.000000000000000000e+00 2.787280448654624321e-01 3.732988647292700968e-01 3.218554382269555036e-01 8.062593210081303585e-02
1.000000000000000000e+00 2.860630170373616998e-01 3.629378010543429234e-01 3.229442994739016304e-01 8.297857169406080979e-02
2.000000000000000000e+00 2.847380200817514195e-01 3.542545501419868681e-01 3.154276606112382808e-01 7.872053392153827156e-02
3.000000000000000000e+00 2.854319432675618273e-01 3.601275187589446647e-01 3.200418457877050593e-01 8.203840354445413041e-02
4.000000000000000000e+00 2.908225239969270959e-01 3.664918608128784339e-01 3.239633161608606593e-01 8.320945081300551438e-02
5.000000000000000000e+00 2.931950162042418762e-01 3.596125774219375293e-01 3.216685871870967883e-01 8.202924291844121418e-02
6.000000000000000000e+00 3.015819904351608738e-01 3.622443756969375706e-01 3.275640140822310697e-01 8.583713273423587697e-02
7.000000000000000000e+00 2.979845530192631875e-01 3.481677888588815550e-01 3.211163894779376360e-01 8.440248209559897408e-02
8.000000000000000000e+00 2.967335350108026848e-01 3.578269881530141139e-01 3.240981645151987944e-01 8.442103123739086445e-02
9.000000000000000000e+00 2.884269336991109878e-01 3.638971882656029666e-01 3.211124277926706849e-01 8.088902166303046926e-02
1.000000000000000000e+01 2.859995939769512385e-01 3.571094560958713027e-01 3.160195293917444914e-01 7.889429093354843880e-02
1.100000000000000000e+01 2.920581601016791207e-01 3.637612724315453239e-01 3.222783683072142913e-01 8.291347756613898223e-02
1.200000000000000000e+01 2.982062434081056979e-01 3.544370493722458493e-01 3.213942212131153942e-01 8.435048955257351544e-02
1.300000000000000000e+01 3.001455866966404873e-01 3.599566775072712832e-01 3.244757701510272430e-01 8.504376987468170723e-02
1.400000000000000000e+01 2.955305340752951704e-01 3.612001057395078374e-01 3.240163427787062789e-01 8.385323408302219894e-02
1.500000000000000000e+01 2.982023980443823108e-01 3.573252489308336166e-01 3.238496574129861028e-01 8.394633189077410629e-02
1.600000000000000000e+01 2.949825693196955756e-01 3.600123006154637428e-01 3.233217667490196345e-01 8.367476369876158948e-02
1.700000000000000000e+01 2.942393009190173991e-01 3.595546110996373779e-01 3.184612259630603681e-01 7.876136730661570384e-02
1.800000000000000000e+01 2.971851781251381719e-01 3.658258928234630059e-01 3.248268246930285374e-01 8.279246807900830785e-02
1.900000000000000000e+01 2.973333037341099327e-01 3.614016129096473406e-01 3.247204948024107196e-01 8.466262160606585763e-02
2.000000000000000000e+01 2.961106027526696494e-01 3.580064965681515887e-01 3.187967705326414380e-01 8.094188648289701860e-02
2.100000000000000000e+01 2.949683426995676205e-01 3.542856029543528518e-01 3.161972628771413385e-01 7.918537743557829689e-02
2.200000000000000000e+01 2.998322908402442089e-01 3.655037551932570627e-01 3.267357155445710926e-01 8.419663213210903940e-02
2.300000000000000000e+01 2.966013341006797921e-01 3.589869767178420767e-01 3.210628990080813261e-01 8.094404932562376809e-02
2.400000000000000000e+01 3.048367845565647105e-01 3.672807483301472331e-01 3.296772945881623063e-01 8.636452145923156909e-02
2.500000000000000000e+01 2.960331310322785736e-01 3.587781608295925739e-01 3.211554664144339877e-01 8.124656050705930666e-02
2.600000000000000000e+01 2.945957336341202826e-01 3.598265206602471178e-01 3.251107430147219812e-01 8.500084749508435289e-02
2.700000000000000000e+01 2.933020355753241937e-01 3.735514266231385605e-01 3.288562448646373815e-01 8.601617294116409296e-02
2.800000000000000000e+01 2.900628100384747832e-01 3.523348933007809936e-01 3.171714539791029575e-01 7.987825721115365818e-02
2.900000000000000000e+01 2.947179433695524819e-01 3.548328728048755210e-01 3.194940726705433054e-01 8.038262770365245391e-02
3.000000000000000000e+01 2.953998793185231841e-01 3.677843671509963830e-01 3.257255306265656736e-01 8.345826420364549358e-02
3.100000000000000000e+01 2.953711139600295743e-01 3.667061297473306891e-01 3.278612882232683212e-01 8.544929901633985247e-02
3.200000000000000000e+01 2.962718686414671510e-01 3.624540813222303925e-01 3.231605294564642294e-01 8.225101683916696826e-02
3.300000000000000000e+01 2.910576364974197250e-01 3.594171807547208441e-01 3.212665787331469014e-01 8.360186749326703470e-02
3.400000000000000000e+01 2.911641816226120394e-01 3.619899821381599714e-01 3.210005778209834570e-01 8.208534932650990434e-02
3.500000000000000000e+01 2.927599967872523967e-01 3.439118058867591810e-01 3.128153511572028256e-01 7.949462060977413591e-02
3.600000000000000000e+01 2.942269080067498321e-01 3.523674475934538974e-01 3.163811603963210262e-01 8.067712347666022854e-02
3.700000000000000000e+01 3.012600001967438712e-01 3.696416233711224408e-01 3.335556263654783637e-01 8.801785468953871039e-02
3.800000000000000000e+01 3.020268743855659688e-01 3.747718484880609990e-01 3.356409739871247799e-01 9.105461980738155381e-02
3.900000000000000000e+01 2.970544483510168532e-01 3.743502184165217184e-01 3.327999222835715809e-01 8.784358000808084599e-02
4.000000000000000000e+01 2.968861753866078868e-01 3.657036675287953509e-01 3.275276560169775864e-01 8.566458591984293935e-02
4.100000000000000000e+01 2.940044033352913200e-01 3.589284573389495137e-01 3.206697956123950588e-01 8.173002354915198664e-02
4.200000000000000000e+01 2.999625156640973733e-01 3.737669594306212151e-01 3.342010449205899403e-01 8.853804363243139575e-02
4.300000000000000000e+01 2.996090685317519542e-01 3.627273067336462264e-01 3.283633591785242167e-01 8.645199334088204957e-02
4.400000000000000000e+01 2.960462653041937564e-01 3.667784893290554349e-01 3.298146281928336920e-01 8.755829691318506303e-02
4.500000000000000000e+01 2.978278062017923888e-01 3.665203575086926069e-01 3.267563021589789951e-01 8.404575038839806611e-02
4.600000000000000000e+01 2.927325966530909263e-01 3.628707299427043620e-01 3.217595028773770904e-01 8.247411242706770285e-02
4.700000000000000000e+01 2.973420367765565731e-01 3.645101350116401462e-01 3.224352108324552990e-01 8.228787176556895400e-02
4.800000000000000000e+01 2.907563691213964630e-01 3.576110594976787960e-01 3.170111746449420509e-01 7.829134864519426973e-02
4.900000000000000000e+01 2.976783302322301150e-01 3.577398599034011251e-01 3.237730415403053952e-01 8.397118123724195415e-02
5.000000000000000000e+01 2.870012549876844732e-01 3.555991198547067689e-01 3.178531093269166830e-01 8.073795606954958792e-02
5.100000000000000000e+01 2.946784408613687400e-01 3.628116657530766620e-01 3.223264930393460181e-01 8.263893242900910430e-02
5.200000000000000000e+01 2.975780744139172596e-01 3.511428082973706566e-01 3.203507372884557558e-01 8.291040926707998748e-02
5.300000000000000000e+01 2.876520471885634089e-01 3.471839451162759826e-01 3.109588107577293536e-01 7.765476580984304045e-02
5.400000000000000000e+01 2.980404511227349174e-01 3.662902827798494299e-01 3.276651688468789625e-01 8.636712698469023453e-02
5.500000000000000000e+01 2.897900569760191170e-01 3.575475802868055553e-01 3.179176232114371281e-01 7.936906004119492763e-02
