# step, M, T, PO, AO
0.000000000000000000e+00 2.903756165695244862e-01 3.840154926991356521e-01 3.326581496782902714e-01 8.758141427619314801e-02
1.000000000000000000e+00 2.982499548851820226e-01 3.744585544617912154e-01 3.330748204347602215e-01 8.785793429981303415e-02
2.000000000000000000e+00 2.866828267382554030e-01 3.554129365522189499e-01 3.189127983410249834e-01 8.167282136989600927e-02
3.000000000000000000e+00 2.949769345022088540e-01 3.557838881620388749e-01 3.231039654594895505e-01 8.430850888624175088e-02
4.000000000000000000e+00 2.923930584740920824e-01 3.623862296273762107e-01 3.218027003032599698e-01 8.210477051101372492e-02
5.000000000000000000e+00 2.858299444964125247e-01 3.576827299628960732e-01 3.180177572858812751e-01 8.001104200445174897e-02
6.000000000000000000e+00 2.887323270401202513e-01 3.679499668037946591e-01 3.239101302353273315e-01 8.333396473917026315e-02
7.000000000000000000e+00 2.942628455108158292e-01 3.585944342042226562e-01 3.210311585789293876e-01 8.158467890850712445e-02
8.000000000000000000e+00 2.946970167742933855e-01 3.492394915408675304e-01 3.180500701614751291e-01 8.139241245072043052e-02
9.000000000000000000e+00 2.944602731632151582e-01 3.647579143860442130e-01 3.283644735458325914e-01 8.763797777191578708e-02
1.000000000000000000e+01 2.975657526559977173e-01 3.575487042188461029e-01 3.226249910427560486e-01 8.397788055076155223e-02
1.100000000000000000e+01 3.006281573509649307e-01 3.554163355334938323e-01 3.243228890646165929e-01 8.490256744567353797e-02
1.200000000000000000e+01 2.994949625958459039e-01 3.664814779639037345e-01 3.294551683822664057e-01 8.665519239426072717e-02
1.300000000000000000e+01 2.920132014189999459e-01 3.589901577736083205e-01 3.194665357337083123e-01 8.157068721816679302e-02
1.400000000000000000e+01 2.888906581611618840e-01 3.617847849681370409e-01 3.208617339745254426e-01 8.196423138388042595e-02
1.500000000000000000e+01 2.940088967955166721e-01 3.682320648408542452e-01 3.265706099558256525e-01 8.435071958982165441e-02
1.600000000000000000e+01 2.840508247813720022e-01 3.563725061419259488e-01 3.169487739390084435e-01 8.019110162477643966e-02
1.700000000000000000e+01 2.906970781082590105e-01 3.706501268249552394e-01 3.279313988156592474e-01 8.507018400184329643e-02
1.800000000000000000e+01 2.960883835257257513e-01 3.683882855763742081e-01 3.304728809699479797e-01 8.755289641535257683e-02
1.900000000000000000e+01 2.913805584943699456e-01 3.629837592578802341e-01 3.201811012598252404e-01 8.061898830236380320e-02
2.000000000000000000e+01 2.989946344384267762e-01 3.654475123404508086e-01 3.289081341003146086e-01 8.635192988968892758e-02
2.100000000000000000e+01 2.908051801834974359e-01 3.568433087947310289e-01 3.157741646313137474e-01 7.818077938557355111e-02
2.200000000000000000e+01 2.830818729825628211e-01 3.608440093847156138e-01 3.164886981649039921e-01 7.883941234637337203e-02
2.300000000000000000e+01 2.870465924127187929e-01 3.519720126942955662e-01 3.168933401353276613e-01 8.137246904515893497e-02
2.400000000000000000e+01 2.955061032025613210e-01 3.533384730879997049e-01 3.200715205705517152e-01 8.181921095546607070e-02
2.500000000000000000e+01 2.956277759862059318e-01 3.722792922957137152e-01 3.300611491377427598e-01 8.639496489235648502e-02
2.600000000000000000e+01 2.882267879729387694e-01 3.622941786386209007e-01 3.193555191050314601e-01 8.036438575118359795e-02
2.700000000000000000e+01 2.855573977184462930e-01 3.561319270870000331e-01 3.167735049792134716e-01 7.955085620549018355e-02
2.800000000000000000e+01 2.880018704708812161e-01 3.619311687760907725e-01 3.214673409766412027e-01 8.149467254943765226e-02
2.900000000000000000e+01 2.853339907448078083e-01 3.580213848008302335e-01 3.148744499233594452e-01 7.817461390046814840e-02
3.000000000000000000e+01 2.866460120343398144e-01 3.603440550277602905e-01 3.199066470978633170e-01 8.102108980197025856e-02
3.100000000000000000e+01 2.756520377340768713e-01 3.608138310644444235e-01 3.132868484511229790e-01 7.807589587795821240e-02
3.200000000000000000e+01 2.821099437860062342e-01 3.605076657600339018e-01 3.148507849144034365e-01 7.680769638116996534e-02
3.300000000000000000e+01 2.858274691530829914e-01 3.736959762118111650e-01 3.251781714223923592e-01 8.328633655452533091e-02
3.400000000000000000e+01 2.721449600982089323e-01 3.648583873269257705e-01 3.148971423986766660e-01 7.776601923706216724e-02
3.500000000000000000e+01 2.777885171299085965e-01 3.747693968521582653e-01 3.208346605854057731e-01 7.925357919901276915e-02
3.600000000000000000e+01 2.740016380680261321e-01 3.707174587231710783e-01 3.168173306865839089e-01 7.822680575199691955e-02
3.700000000000000000e+01 2.757368721192154926e-01 3.750541173172580733e-01 3.196966639041748381e-01 7.863618919924558748e-02
3.800000000000000000e+01 2.726655558504135213e-01 3.777278265145709302e-01 3.199039923708439925e-01 7.882314498589593210e-02
3.900000000000000000e+01 2.840640723845863080e-01 3.603683192870532626e-01 3.168659572212570996e-01 7.866026706168627314e-02
4.000000000000000000e+01 2.750956541553770673e-01 3.585847341665099886e-01 3.110872820083909751e-01 7.552744893816898397e-02
4.100000000000000000e+01 2.680235064713465953e-01 3.748505373504232852e-01 3.148750354605254764e-01 7.628858691087608834e-02
4.200000000000000000e+01 2.593137581911692524e-01 3.788499313316525674e-01 3.159068906819769706e-01 7.841356925110676279e-02
4.300000000000000000e+01 2.625034043853837762e-01 3.651169064913760698e-01 3.086953255618289926e-01 7.397320536490437082e-02
4.400000000000000000e+01 2.794131639756605168e-01 3.644624554625487400e-01 3.186266410800104865e-01 7.963065350488235383e-02
4.500000000000000000e+01 2.766797554461645769e-01 3.537862889355442575e-01 3.108809484082209473e-01 7.661266141523476181e-02
4.600000000000000000e+01 2.777938505791296420e-01 3.672182140666141459e-01 3.179625848667565480e-01 7.892944220416736600e-02
4.700000000000000000e+01 2.699098307355838333e-01 3.643395155354273163e-01 3.144747607447549997e-01 7.799238495159843687e-02
4.800000000000000000e+01 2.724443637778573013e-01 3.631972930091025287e-01 3.152175199846490861e-01 7.860571317420128601e-02
4.900000000000000000e+01 2.727382600001175272e-01 3.638317759658827311e-01 3.130444421657019305e-01 7.712325674385789309e-02
5.000000000000000000e+01 2.647083817278417239e-01 3.680527364785433075e-01 3.129196402894453000e-01 7.646039826815076434e-02
5.100000000000000000e+01 2.804223104506701203e-01 3.779663785451494729e-01 3.265496596673749807e-01 8.439369275473901366e-02
5.200000000000000000e+01 2.735616782449887818e-01 3.718738592841090984e-01 3.165423064646007978e-01 7.811003806107247316e-02
5.300000000000000000e+01 2.660472145345544881e-01 3.787876016997447914e-01 3.174413067526581922e-01 7.809228989469152449e-02
5.400000000000000000e+01 2.770515547420847602e-01 3.829148674894986559e-01 3.272195947159660667e-01 8.419882546750900865e-02
5.500000000000000000e+01 2.743399040888035989e-01 3.798556827457165719e-01 3.187389300075666454e-01 7.863954067785283719e-02
5.600000000000000000e+01 2.727249096011361562e-01 3.745313170162000715e-01 3.196011901916540054e-01 7.974898977737421291e-02
5.700000000000000000e+01 2.655667324789132699e-01 3.793623406656951857e-01 3.183869346569915826e-01 7.896308884949659879e-02
5.800000000000000000e+01 2.661014117865247997e-01 3.757904116373373404e-01 3.175114133681422590e-01 7.909371815107757442e-02
5.900000000000000000e+01 2.760479765405171038e-01 3.601401813117699469e-01 3.122734350607225262e-01 7.599494178944865563e-02
6.000000000000000000e+01 2.722140718942852589e-01 3.712121759205837535e-01 3.163292518984156532e-01 7.757356214197552724e-02
6.100000000000000000e+01 2.801377418970006361e-01 3.762915596381339878e-01 3.245771941843679231e-01 8.161023630760189107e-02
6.200000000000000000e+01 2.811105299897204701e-01 3.682702819624320556e-01 3.218883944276224041e-01 8.130907525874836450e-02
6.300000000000000000e+01 2.732528940583599519e-01 3.662273765137592507e-01 3.141259946941765135e-01 7.692489090469900592e-02
6.400000000000000000e+01 2.874896785364272622e-01 3.714591886316852554e-01 3.249154345172682312e-01 8.327593820242101819e-02
6.500000000000000000e+01 2.829956839380887712e-01 3.792820128296436333e-01 3.251476417929951568e-01 8.194929283924667907e-02
6.600000000000000000e+01 2.791146776980086841e-01 3.726042690487542108e-01 3.246953162613146482e-01 8.371896988074345458e-02
6.700000000000000000e+01 2.779803072867940150e-01 3.695567389841593053e-01 3.200409161646877720e-01 8.099765089004573593e-02
6.800000000000000000e+01 2.771742303630745363e-01 3.624744402356487871e-01 3.176909198919727895e-01 8.026393288405520021e-02
6.900000000000000000e+01 2.735546340988033176e-01 3.671790562076431286e-01 3.153398327218798203e-01 7.731992342666899054e-02
7.000000000000000000e+01 2.780362434496289614e-01 3.653542937816978142e-01 3.196208095913480873e-01 8.050921980190889338e-02
7.100000000000000000e+01 2.758101448558118451e-01 3.634004645488093654e-01 3.162969578042631458e-01 7.887501841003552450e-02
7.200000000000000000e+01 2.855099511188739503e-01 3.534208758281827123e-01 3.161510102325054694e-01 8.103853478346889627e-02
7.300000000000000000e+01 2.883138884266952529e-01 3.562852176938164361e-01 3.155135450018946575e-01 7.885649952089468506e-02
7.400000000000000000e+01 2.923870080227030099e-01 3.655620894097115769e-01 3.231185487043649052e-01 8.239366191746716472e-02
7.500000000000000000e+01 2.901547264957866634e-01 3.568320280976753356e-01 3.197277317438944610e-01 8.300288998745997127e-02
7.600000000000000000e+01 2.901111181411931139e-01 3.604592958215921406e-01 3.245221270219670329e-01 8.529115228431016771e-02
7.700000000000000000e+01 2.878533479849234578e-01 3.560728842674688588e-01 3.172051652018548218e-01 8.003248737380258548e-02
7.800000000000000000e+01 2.951248258176097927e-01 3.631910252893064683e-01 3.241242708600162725e-01 8.337234557688838477e-02
7.900000000000000000e+01 2.952514230105963700e-01 3.749757811462793855e-01 3.319175040765937057e-01 8.764177009262880125e-02
8.000000000000000000e+01 2.949359728755531762e-01 3.614545205320067178e-01 3.242414204505414954e-01 8.496040339079174997e-02
8.100000000000000000e+01 2.920772642005055042e-01 3.658381834575661351e-01 3.228586554696551980e-01 8.185218907843072600e-02
8.200000000000000000e+01 2.860429185541697450e-01 3.626814653936613064e-01 3.173889077135398917e-01 7.878213845066345256e-02
8.300000000000000000e+01 2.925936050345919748e-01 3.654806806465409341e-01 3.242937721396875195e-01 8.351923460051269288e-02
8.400000000000000000e+01 2.954364025677558292e-01 3.521748991161059994e-01 3.179037690865770260e-01 8.112313501574575092e-02
8.500000000000000000e+01 2.934457187652518284e-01 3.595543657344126287e-01 3.191756648374798333e-01 8.065897738885696722e-02
8.600000000000000000e+01 2.986583039155495389e-01 3.604363019127537759e-01 3.266771325262547987e-01 8.602015066208595906e-02
8.700000000000000000e+01 2.977774129003795123e-01 3.559949762753967795e-01 3.232042301817126262e-01 8.452818654152627342e-02
8.800000000000000000e+01 2.969125223739312869e-01 3.525694729378150427e-01 3.210272425951291586e-01 8.378750681943880618e-02
8.900000000000000000e+01 3.013329252595983720e-01 3.610353597279418736e-01 3.276507593705435539e-01 8.634722850389103810e-02
9.000000000000000000e+01 2.992860557236238228e-01 3.566875598033454331e-01 3.244686250070945022e-01 8.370321062517649402e-02
9.100000000000000000e+01 2.962805176223495263e-01 3.490580933410878384e-01 3.162424084655846568e-01 8.042424652909757610e-02
9.200000000000000000e+01 2.882314603365017103e-01 3.596720320155901152e-01 3.173534344008361874e-01 7.884170446606758587e-02
9.300000000000000000e+01 2.948766833245511920e-01 3.620580318300959943e-01 3.237074735832067285e-01 8.280686103872164638e-02
9.400000000000000000e+01 2.954250202528980740e-01 3.632553994659528662e-01 3.247815883908008461e-01 8.291148791836283616e-02
9.500000000000000000e+01 2.957312233848017335e-01 3.636858188807450265e-01 3.249381987697094742e-01 8.274802460174746077e-02
9.600000000000000000e+01 2.966462752578453710e-01 3.555844470360365328e-01 3.219069777569212309e-01 8.242603670708054109e-02
9.700000000000000000e+01 2.908534706173784290e-01 3.514827587555228172e-01 3.153745254003248455e-01 7.943450241394162115e-02
9.800000000000000000e+01 2.951064084712061719e-01 3.518442055087768194e-01 3.165470159594489519e-01 7.997649693830916062e-02
9.900000000000000000e+01 2.982621724574877620e-01 3.658361148609285407e-01 3.265137896739494505e-01 8.512967954637906676e-02
1.000000000000000000e+02 3.002860841092035438e-01 3.562490957494625077e-01 3.252906139000154018e-01 8.583288648299697288e-02
1.010000000000000000e+02 3.025380587495891671e-01 3.582548709291843991e-01 3.292850851265256562e-01 8.965877617812978428e-02
1.020000000000000000e+02 3.010526983071146745e-01 3.616449541469575202e-01 3.263928611233032351e-01 8.608068267780710769e-02
1.030000000000000000e+02 2.924149671324119959e-01 3.684655930132094692e-01 3.254281281279534088e-01 8.423898657053424666e-02
1.040000000000000000e+02 2.997381616381795677e-01 3.593376289811477942e-01 3.253596715068081124e-01 8.516933058558728842e-02
1.050000000000000000e+02 2.949070304049460911e-01 3.556149857036032813e-01 3.160085767017183911e-01 7.837350604252207864e-02
1.060000000000000000e+02 2.984578387873464411e-01 3.626686971370490231e-01 3.243231855054760082e-01 8.329701827827878935e-02
1.070000000000000000e+02 2.994051324711588524e-01 3.534459618750517840e-01 3.222885082530236867e-01 8.224082963299061966e-02
1.080000000000000000e+02 3.024737278360801196e-01 3.711284244267885613e-01 3.316141614732280862e-01 8.727380298653336643e-02
1.090000000000000000e+02 2.956054566030373310e-01 3.588198314671507960e-01 3.193206658156736988e-01 8.034752032182745918e-02
1.100000000000000000e+02 2.933964563881645837e-01 3.517338344219325674e-01 3.148703808742644439e-01 7.803365477794182992e-02
1.110000000000000000e+02 2.942702042450267008e-01 3.515263035182670803e-01 3.213876175765231213e-01 8.416232589362415695e-02
1.120000000000000000e+02 2.976428301358727824e-01 3.593037641839216256e-01 3.245494953948112604e-01 8.496007680394218609e-02
1.130000000000000000e+02 2.944097830911669433e-01 3.706624594644720716e-01 3.274989683302798604e-01 8.411284646217226380e-02
1.140000000000000000e+02 2.994835687688203740e-01 3.671060431955732728e-01 3.305388115009667560e-01 8.645274007636366553e-02
1.150000000000000000e+02 3.018409939529707597e-01 3.615078718262053625e-01 3.257753039520925875e-01 8.577324094947380573e-02
1.160000000000000000e+02 3.019947387585105725e-01 3.692237079798013077e-01 3.288565685376927394e-01 8.530437692392700555e-02
1.170000000000000000e+02 2.944642128130234848e-01 3.550372750362237317e-01 3.187368919912044185e-01 8.135319821380609939e-02
1.180000000000000000e+02 2.938911986325237757e-01 3.451832389553116665e-01 3.125897462416488137e-01 7.884026968016000225e-02
1.190000000000000000e+02 3.039412763617315161e-01 3.598780744465718828e-01 3.250361217308894157e-01 8.314638282873371145e-02
1.200000000000000000e+02 2.991165415519060344e-01 3.506781434483507986e-01 3.199645349946029782e-01 8.248494191692518074e-02
1.210000000000000000e+02 2.994459983981702100e-01 3.638808729431127209e-01 3.238455398954471764e-01 8.233610000958757613e-02
1.220000000000000000e+02 3.013045496530254441e-01 3.677476951495883828e-01 3.296511324977781099e-01 8.678223809564866720e-02
1.230000000000000000e+02 2.938470710969063315e-01 3.634465304343830194e-01 3.229801330960250239e-01 8.215447475725679016e-02
1.240000000000000000e+02 2.936931489341315094e-01 3.629241295095787523e-01 3.221908291566312754e-01 8.138804483859435335e-02
1.250000000000000000e+02 3.036775224967651621e-01 3.776085285190259877e-01 3.344686377252960030e-01 8.819525900710251110e-02
