# step, M, T, PO, AO
0.000000000000000000e+00 2.590470818377926809e-01 3.786228107314552060e-01 3.177589286188020057e-01 7.970123901602532701e-02
1.000000000000000000e+00 2.680448933699866032e-01 3.648988470558964803e-01 3.115144611587593038e-01 7.614876096735984090e-02
2.000000000000000000e+00 2.590344360998826367e-01 3.785552667656120196e-01 3.145236615127808832e-01 7.742442846432784354e-02
3.000000000000000000e+00 2.597170438890812338e-01 3.911235844035170217e-01 3.225609269159054882e-01 8.293400781299165025e-02
4.000000000000000000e+00 2.618585088320502519e-01 3.776392495491206480e-01 3.132694873711849848e-01 7.637082820192342414e-02
5.000000000000000000e+00 2.741745178306926878e-01 3.632960340417339395e-01 3.150462288698820945e-01 7.839736963146248794e-02
6.000000000000000000e+00 2.664612748555709731e-01 3.693550920067937282e-01 3.164289751221484037e-01 7.952706218732069621e-02
7.000000000000000000e+00 2.601667184669334554e-01 3.780417963389048897e-01 3.147630271242589650e-01 7.723789974704614592e-02
8.000000000000000000e+00 2.556692330728139173e-01 3.908719412010719374e-01 3.195697451295034242e-01 8.049258651031460099e-02
9.000000000000000000e+00 2.634525170163868335e-01 3.688878748116183326e-01 3.122864309435053332e-01 7.717613684084562165e-02
1.000000000000000000e+01 2.643412717350054342e-01 3.617918997658925440e-01 3.082851587306207342e-01 7.395234707892078818e-02
1.100000000000000000e+01 2.685151223530183318e-01 3.626198851927503464e-01 3.117915978918477382e-01 7.644480389484803462e-02
1.200000000000000000e+01 2.648879182481120864e-01 3.732540358029974303e-01 3.152352357286584694e-01 7.817698863487304584e-02
1.300000000000000000e+01 2.647030916812936896e-01 3.773546615256466175e-01 3.148215315041524853e-01 7.685884790498465069e-02
1.400000000000000000e+01 2.636651133006152614e-01 3.705615199199404075e-01 3.132402174192876476e-01 7.666401312480508601e-02
1.500000000000000000e+01 2.557071800178641330e-01 3.744566202752931394e-01 3.115488178464306812e-01 7.685550787304507026e-02
1.600000000000000000e+01 2.685786146893088255e-01 3.754503081424610533e-01 3.160523765852709666e-01 7.725609670718830424e-02
1.700000000000000000e+01 2.606637777073951279e-01 3.649604880703844478e-01 3.070571336633853843e-01 7.275059847155623816e-02
1.800000000000000000e+01 2.612601613606155282e-01 3.776111597765782757e-01 3.188198911542076130e-01 8.083267501264967958e-02
1.900000000000000000e+01 2.546923284271844778e-01 3.748340867367178086e-01 3.101381059187391376e-01 7.535721854136090414e-02
2.000000000000000000e+01 2.589481373444070811e-01 3.851973461017262901e-01 3.164947887704839258e-01 7.778573327386817393e-02
2.100000000000000000e+01 2.561807265697515490e-01 3.872873841876944834e-01 3.199916487439454782e-01 8.161367076961628664e-02
2.200000000000000000e+01 2.661954574649518790e-01 3.747101902639833337e-01 3.112101698251271698e-01 7.449496030498264920e-02
2.300000000000000000e+01 2.571860140916200077e-01 3.631440531599203769e-01 3.055817370279415579e-01 7.265779050427678687e-02
2.400000000000000000e+01 2.535439525744908051e-01 3.853316752403007639e-01 3.182508634218091381e-01 8.036955535723255828e-02
2.500000000000000000e+01 2.596460839174297153e-01 3.759041244647747249e-01 3.118127760467034326e-01 7.548161009945941746e-02
2.600000000000000000e+01 2.621193329771003278e-01 3.642967504467025108e-01 3.100346643795950374e-01 7.587418124378697559e-02
2.700000000000000000e+01 2.624192172310029214e-01 3.718835069577670627e-01 3.157455095084212848e-01 7.872452665843915343e-02
2.800000000000000000e+01 2.567427236956707493e-01 3.831602403837871540e-01 3.146960455887695129e-01 7.741972034521971135e-02
2.900000000000000000e+01 2.549792675275894815e-01 3.861391701666072040e-01 3.151312833387643897e-01 7.776197793141981229e-02
3.000000000000000000e+01 2.600646650768725365e-01 3.716468569911313691e-01 3.123245749003596416e-01 7.673503314914320583e-02
3.100000000000000000e+01 2.584201841973129410e-01 3.773478121621173798e-01 3.140667412706212858e-01 7.718283720120627800e-02
3.200000000000000000e+01 2.560867329009517968e-01 3.838749027232542521e-01 3.160573001774112933e-01 7.836433413370158529e-02
3.300000000000000000e+01 2.579974662748504843e-01 3.735560058675702066e-01 3.107050116327133571e-01 7.551367417460569387e-02
3.400000000000000000e+01 2.528186318786991293e-01 3.809124018394401956e-01 3.116012555165872944e-01 7.592678225735205455e-02
3.500000000000000000e+01 2.529267112849304944e-01 3.831367567853876110e-01 3.169827137615559565e-01 8.008572122546858685e-02
3.600000000000000000e+01 2.541393493717564178e-01 3.687586757555439410e-01 3.071568299491497234e-01 7.379752736104661093e-02
3.700000000000000000e+01 2.524949983007898080e-01 3.760118837598751540e-01 3.116353710032268021e-01 7.678058215321714730e-02
3.800000000000000000e+01 2.517508493781236423e-01 3.828176542827221862e-01 3.151131311150213166e-01 7.845105637898597273e-02
3.900000000000000000e+01 2.485701495333321742e-01 3.761075963082112783e-01 3.079906893100121668e-01 7.404342708451266963e-02
4.000000000000000000e+01 2.544725157431204643e-01 3.746673250909743347e-01 3.108314654715164105e-01 7.573627822859257952e-02
4.100000000000000000e+01 2.542282742820932140e-01 3.711264352786784460e-01 3.099403091630255069e-01 7.591282169989133077e-02
4.200000000000000000e+01 2.519072436698626127e-01 3.812215635103320399e-01 3.102110875680192392e-01 7.457452332650299498e-02
4.300000000000000000e+01 2.501662094221932531e-01 3.863939414253824145e-01 3.171932502784775565e-01 8.020261284119273304e-02
4.400000000000000000e+01 2.598608057182024700e-01 3.793759577596926835e-01 3.145106000202160801e-01 7.729228798745746420e-02
4.500000000000000000e+01 2.561574947704328142e-01 3.743146899971589447e-01 3.110628608011992702e-01 7.517256880024542065e-02
4.600000000000000000e+01 2.545623945544244204e-01 3.783913329539657644e-01 3.145393010253639821e-01 7.822656124826909974e-02
4.700000000000000000e+01 2.644578426280060346e-01 3.744088533443404865e-01 3.123327281081785256e-01 7.523031652535755454e-02
4.800000000000000000e+01 2.541858711373968238e-01 3.730465247140037355e-01 3.107213412959601850e-01 7.565387507112170118e-02
4.900000000000000000e+01 2.530227196563731296e-01 3.849696563819838824e-01 3.157250059726058322e-01 7.902047903709402688e-02
5.000000000000000000e+01 2.566768762772717039e-01 3.727588765966256545e-01 3.077558367620614188e-01 7.326180876804427866e-02
5.100000000000000000e+01 2.493597866997387946e-01 3.789358259383054373e-01 3.127121503583392692e-01 7.802855639795930331e-02
5.200000000000000000e+01 2.548912985342232096e-01 3.866322590810429283e-01 3.151775174386969303e-01 7.737409736533645832e-02
5.300000000000000000e+01 2.521422968006461485e-01 3.774601295155888270e-01 3.107953817257557150e-01 7.555091353014176114e-02
5.400000000000000000e+01 2.642356687923426151e-01 3.671698297537137612e-01 3.112886234798983298e-01 7.529793337341367243e-02
5.500000000000000000e+01 2.629690341932664488e-01 3.742847868400329681e-01 3.137627157633412489e-01 7.695877793315852866e-02
5.600000000000000000e+01 2.585326447907801972e-01 3.834019982721305064e-01 3.155409681481221584e-01 7.747454582556756453e-02
5.700000000000000000e+01 2.500400612761852770e-01 3.795777522334800591e-01 3.105404089445656934e-01 7.577235083705968766e-02
5.800000000000000000e+01 2.609253310286082650e-01 3.700479404885012036e-01 3.118969838441597586e-01 7.699666550751094185e-02
5.900000000000000000e+01 2.599259930121034512e-01 3.670160130309911839e-01 3.087169587865941089e-01 7.416656965691437176e-02
6.000000000000000000e+01 2.506994568999718620e-01 3.870993781811630785e-01 3.140253452415286417e-01 7.781035766518318297e-02
6.100000000000000000e+01 2.488203871164214043e-01 3.916137199990652462e-01 3.172700569905371193e-01 8.015869339218817391e-02
6.200000000000000000e+01 2.563042636610148861e-01 3.743216023236325407e-01 3.099131559362358068e-01 7.458267898114828709e-02
6.300000000000000000e+01 2.618601724333700087e-01 3.717542870108641040e-01 3.146564778059290357e-01 7.861796368398404899e-02
6.400000000000000000e+01 2.532464519132346936e-01 3.793255954146123043e-01 3.121610905124245217e-01 7.618046140347045636e-02
6.500000000000000000e+01 2.538020559319379421e-01 3.849706699954669187e-01 3.139075497203462350e-01 7.647411327030290140e-02
6.600000000000000000e+01 2.551740609726738107e-01 3.787983886603182859e-01 3.133228665560557902e-01 7.702886495493677099e-02
6.700000000000000000e+01 2.511879413300946995e-01 3.751193517571639879e-01 3.096001876432070699e-01 7.522429067453223483e-02
6.800000000000000000e+01 2.522364252398779927e-01 3.827917040031235119e-01 3.138414342918459665e-01 7.744834185885574040e-02
6.900000000000000000e+01 2.542722847077211190e-01 3.775316968239069149e-01 3.123560115621512590e-01 7.676013990537033926e-02
7.000000000000000000e+01 2.530466273606924443e-01 3.761821363081301883e-01 3.110342993074863838e-01 7.612449268546833681e-02
7.100000000000000000e+01 2.489924619267667172e-01 3.782678803438519477e-01 3.104771070576817227e-01 7.594558028558084928e-02
7.200000000000000000e+01 2.531162538832391062e-01 3.844081095297275374e-01 3.147286051284888808e-01 7.753982068260334426e-02
7.300000000000000000e+01 2.512744636715374957e-01 3.841847428756898220e-01 3.123617286259032788e-01 7.630610437196072571e-02
7.400000000000000000e+01 2.571293650406666353e-01 3.778432160199998724e-01 3.130835990260076307e-01 7.706731130905714044e-02
7.500000000000000000e+01 2.599551114082488956e-01 3.764092463336619065e-01 3.125780747444479868e-01 7.571883335399970383e-02
7.600000000000000000e+01 2.532123390393011819e-01 3.842951310204379967e-01 3.144696319279029484e-01 7.730288338171881213e-02
7.700000000000000000e+01 2.582205178549998870e-01 3.774175022726402595e-01 3.170319298331788493e-01 7.996980931150898808e-02
7.800000000000000000e+01 2.566914562200341976e-01 3.646086622811324784e-01 3.065807466787089930e-01 7.355308164578033825e-02
7.900000000000000000e+01 2.601891248241747778e-01 3.782060123389075490e-01 3.138432618348470093e-01 7.677579432607450904e-02
8.000000000000000000e+01 2.521906495785946056e-01 3.849403366108694602e-01 3.149849572882756910e-01 7.807825399817769352e-02
8.100000000000000000e+01 2.574877963887233223e-01 3.830199707750230331e-01 3.179810405524509109e-01 7.965936729549982775e-02
8.200000000000000000e+01 2.535154093616515114e-01 3.753499994029171338e-01 3.102715131245959990e-01 7.548511482827086061e-02
8.300000000000000000e+01 2.612736940640301708e-01 3.715892595598877524e-01 3.121630469922002105e-01 7.588332876407688499e-02
8.400000000000000000e+01 2.626251074488124004e-01 3.700466459215815407e-01 3.127305028216008087e-01 7.664659326091338709e-02
8.500000000000000000e+01 2.562904518177210322e-01 3.811079855431082630e-01 3.138092028688415636e-01 7.702554075566159231e-02
8.600000000000000000e+01 2.551810803292502428e-01 3.756195107874322203e-01 3.134446409106032005e-01 7.704789872161987851e-02
8.700000000000000000e+01 2.530475338230243620e-01 3.799772704067423956e-01 3.125478786145032828e-01 7.622857777264213652e-02
8.800000000000000000e+01 2.512558042145014991e-01 3.800083941589063596e-01 3.101371660464464775e-01 7.488898747523037303e-02
8.900000000000000000e+01 2.542058100207473803e-01 3.768146688503719033e-01 3.132753022779275476e-01 7.763322445851611464e-02
9.000000000000000000e+01 2.567595265585521647e-01 3.766341391178100184e-01 3.125723084891680603e-01 7.664642191994813780e-02
9.100000000000000000e+01 2.531277239461963147e-01 3.772482544248988989e-01 3.131517015307455631e-01 7.704742408863263226e-02
9.200000000000000000e+01 2.489057263803151065e-01 3.823400371984416179e-01 3.124818386956757510e-01 7.726956106235033372e-02
9.300000000000000000e+01 2.590355215234100283e-01 3.826926509449953828e-01 3.169118366165414868e-01 7.879392232833859477e-02
9.400000000000000000e+01 2.593487545107902026e-01 3.733245018276245553e-01 3.143170096368906319e-01 7.811065993636912008e-02
9.500000000000000000e+01 2.552679895962690626e-01 3.801771962429845719e-01 3.137781325168559343e-01 7.747381987455997931e-02
9.600000000000000000e+01 2.581098063451801039e-01 3.831970907194933718e-01 3.166174388335177836e-01 7.840983785531913108e-02
9.700000000000000000e+01 2.624607067444627573e-01 3.684176986606791937e-01 3.106006890405397236e-01 7.554925549509572402e-02
9.800000000000000000e+01 2.609665565072528670e-01 3.751707431217847777e-01 3.149691110481380729e-01 7.774332925919918980e-02
9.900000000000000000e+01 2.552216735121174973e-01 3.814949692748136334e-01 3.152600904509365032e-01 7.802182476862923322e-02
1.000000000000000000e+02 2.579500791259707881e-01 3.757340854851330958e-01 3.117770668996419081e-01 7.537559317245917656e-02
1.010000000000000000e+02 2.499202858703538643e-01 3.751366873239777022e-01 3.088188521477596149e-01 7.476897006697119652e-02
1.020000000000000000e+02 2.600562918320896699e-01 3.875625198124462156e-01 3.205010435225684740e-01 8.103531263589103251e-02
1.030000000000000000e+02 2.508201806352012841e-01 3.731365186174299131e-01 3.086106883007313506e-01 7.496697868587826052e-02
1.040000000000000000e+02 2.550267148516222049e-01 3.773171286150740489e-01 3.127539415753568530e-01 7.709605039048944564e-02
1.050000000000000000e+02 2.538500447103698709e-01 3.814988711253218812e-01 3.122553926174341798e-01 7.597608908511549464e-02
1.060000000000000000e+02 2.541451159867118559e-01 3.771957141027565963e-01 3.119747639003343509e-01 7.657954523897247956e-02
1.070000000000000000e+02 2.582536043827145522e-01 3.631910135989138699e-01 3.091610905394412967e-01 7.614038164517644702e-02
1.080000000000000000e+02 2.632238950634160357e-01 3.665347078033107664e-01 3.081454874857212367e-01 7.302268748918228081e-02
1.090000000000000000e+02 2.489199209139156821e-01 3.776237545606870860e-01 3.110427403519783751e-01 7.655859282721144687e-02
1.100000000000000000e+02 2.524517856891942413e-01 3.869213162272666651e-01 3.157928565228868001e-01 7.849116667364297584e-02
1.110000000000000000e+02 2.629201455011260236e-01 3.654676685887210952e-01 3.085411322550313806e-01 7.398640387622945624e-02
1.120000000000000000e+02 2.524602359701030863e-01 3.710809970928715118e-01 3.085364133875895809e-01 7.488705820078339626e-02
1.130000000000000000e+02 2.573914869077104095e-01 3.813108486750478310e-01 3.164964533954238712e-01 7.890806163323232925e-02
1.140000000000000000e+02 2.506630321621702850e-01 3.764219170568569028e-01 3.102758170148636196e-01 7.573057668829208389e-02
1.150000000000000000e+02 2.642853955108697139e-01 3.694630619870590271e-01 3.125773707798223944e-01 7.634098612269124562e-02
1.160000000000000000e+02 2.561877547599011873e-01 3.720869760209907784e-01 3.094049067450606039e-01 7.481976822338026745e-02
1.170000000000000000e+02 2.587905746158768450e-01 3.847577708665044227e-01 3.186727389678604139e-01 7.978922597637067016e-02
1.180000000000000000e+02 2.519527013651561287e-01 3.751481293581438448e-01 3.087558022963124427e-01 7.461230811526708973e-02
1.190000000000000000e+02 2.587330226068732530e-01 3.757230375955609158e-01 3.133440376965088148e-01 7.618361662307177040e-02
1.200000000000000000e+02 2.536500203415653631e-01 3.891296236769730688e-01 3.169843099469928926e-01 7.893510323609226331e-02
1.210000000000000000e+02 2.583898900154997791e-01 3.781238205192254398e-01 3.123848683144172522e-01 7.531224596729968468e-02
1.220000000000000000e+02 2.541657706131437156e-01 3.780305993039635437e-01 3.139855893740363113e-01 7.802684928650044371e-02
1.230000000000000000e+02 2.558334660602824551e-01 3.686162654102645986e-01 3.090602482563853948e-01 7.499676997810972301e-02
1.240000000000000000e+02 2.616504907814006797e-01 3.638947225849150091e-01 3.098478291412647967e-01 7.535635799867490547e-02
1.250000000000000000e+02 2.571203988733500312e-01 3.751672250758364413e-01 3.109990825495271838e-01 7.488187375567156856e-02
1.260000000000000000e+02 2.528440454368741097e-01 3.845083232681300034e-01 3.151261898835259201e-01 7.819933549733965039e-02
1.270000000000000000e+02 2.636935056257780352e-01 3.729843178463998488e-01 3.147059355651926071e-01 7.741294553490113417e-02
1.280000000000000000e+02 2.569381930954118265e-01 3.757854374184627644e-01 3.128421738383064810e-01 7.635345810661742227e-02
1.290000000000000000e+02 2.550528770229020248e-01 3.831140173522044612e-01 3.144270137042660673e-01 7.767444280492596942e-02
1.300000000000000000e+02 2.533900175066486904e-01 3.839683764032957858e-01 3.141637965452215298e-01 7.750143363851630385e-02
1.310000000000000000e+02 2.508081391313400355e-01 3.726185853441896789e-01 3.087416466572051599e-01 7.517336296033677590e-02
1.320000000000000000e+02 2.588929775650680165e-01 3.725627286248017755e-01 3.133135876374150142e-01 7.741723089033408778e-02
1.330000000000000000e+02 2.536526957205814670e-01 3.856685073250865625e-01 3.164686732942844083e-01 7.874918141575182329e-02
1.340000000000000000e+02 2.488373593737114309e-01 3.876383392018771246e-01 3.141655549095619393e-01 7.779767554673960861e-02
1.350000000000000000e+02 2.569418071589472108e-01 3.656752899658446410e-01 3.073555416171316335e-01 7.439874343256741573e-02
1.360000000000000000e+02 2.596735689628055788e-01 3.637178498823393502e-01 3.104245962123370894e-01 7.719665946252529665e-02
1.370000000000000000e+02 2.614869173813877956e-01 3.631229363067319249e-01 3.089116134583956841e-01 7.509217231267967252e-02
1.380000000000000000e+02 2.583475797720574674e-01 3.881768546255851549e-01 3.178226950744257873e-01 7.837096796017556377e-02
1.390000000000000000e+02 2.447958293467035196e-01 3.884073290714273874e-01 3.145274165013083323e-01 7.893305770291314527e-02
1.400000000000000000e+02 2.670065072784336691e-01 3.584217374543395840e-01 3.089588321164421503e-01 7.627104152488606292e-02
1.410000000000000000e+02 2.704326982644689181e-01 3.568859644525980146e-01 3.087413659867924709e-01 7.486206754782998019e-02
1.420000000000000000e+02 2.653451628562192299e-01 3.675212792728125288e-01 3.138551896818719822e-01 7.857347811275816607e-02
1.430000000000000000e+02 2.547256799475865474e-01 3.850424390802980601e-01 3.144541792788652090e-01 7.694261376866862179e-02
1.440000000000000000e+02 2.633237347465047784e-01 3.823495876529806603e-01 3.179094807944954360e-01 7.962399578077639095e-02
1.450000000000000000e+02 2.517002942578209224e-01 3.739900248954771689e-01 3.092927462063944644e-01 7.532980363663172030e-02
1.460000000000000000e+02 2.614402608049943844e-01 3.793396631915475492e-01 3.159933617767189951e-01 7.779724479779320800e-02
1.470000000000000000e+02 2.484236166288771308e-01 3.740120807705056283e-01 3.102510333478255555e-01 7.668462260560932053e-02
1.480000000000000000e+02 2.611662619064704094e-01 3.686081917297695520e-01 3.104935066403956001e-01 7.493029095695813435e-02
1.490000000000000000e+02 2.655884980304547005e-01 3.769851907265694968e-01 3.166781588742485498e-01 7.870547657204873815e-02
1.500000000000000000e+02 2.518170638431388997e-01 3.744052195765832924e-01 3.082370581165837509e-01 7.406987828905253757e-02
