# step, M, T, PO, AO
0.000000000000000000e+00 2.426104140291535094e-01 3.856298702480843166e-01 3.113222958249627359e-01 7.712172599280142649e-02
1.000000000000000000e+00 2.534158734909127686e-01 3.767395872234663434e-01 3.120746188520020503e-01 7.709127613108035515e-02
2.000000000000000000e+00 2.494861623799866091e-01 3.715728130895006309e-01 3.098754206572116310e-01 7.642607244170041003e-02
3.000000000000000000e+00 2.497255191777461025e-01 3.793257498431496511e-01 3.119894346434430310e-01 7.712519246631166503e-02
4.000000000000000000e+00 2.452914828869636188e-01 3.755520520320845268e-01 3.070872697349669167e-01 7.473941937259803714e-02
5.000000000000000000e+00 2.525356654956485425e-01 3.794584716229929544e-01 3.134571750106068810e-01 7.778113326781044279e-02
6.000000000000000000e+00 2.488316511347744564e-01 3.795618106450345808e-01 3.116259193460022003e-01 7.729818766405632813e-02
7.000000000000000000e+00 2.491490237051099399e-01 3.760973949229634017e-01 3.074155318021839500e-01 7.347125091641665273e-02
8.000000000000000000e+00 2.448717172167164668e-01 3.889459479050662583e-01 3.168769558097870309e-01 8.129563430561287385e-02
9.000000000000000000e+00 2.484418841004620293e-01 3.745476484523665439e-01 3.082326734570400295e-01 7.477207697776155904e-02
1.000000000000000000e+01 2.502700801250591911e-01 3.712098904493761342e-01 3.068160342935741802e-01 7.396289816679940676e-02
1.100000000000000000e+01 2.431570793685027820e-01 3.789292355125475908e-01 3.100317205996240277e-01 7.732232422748780420e-02
1.200000000000000000e+01 2.460973542956167437e-01 3.821212262196078124e-01 3.086822475645221164e-01 7.510180509527819570e-02
1.300000000000000000e+01 2.474007247542949206e-01 3.800642204541895275e-01 3.105566705063537158e-01 7.615182786020308070e-02
1.400000000000000000e+01 2.525977681837527911e-01 3.701295684544681497e-01 3.093210630536957773e-01 7.599125214259638827e-02
1.500000000000000000e+01 2.449170712255716587e-01 3.706620422266843073e-01 3.036641837569340474e-01 7.261030815285152151e-02
1.600000000000000000e+01 2.512155093011980700e-01 3.949677862788770755e-01 3.209020146755014458e-01 8.209392646258967252e-02
1.700000000000000000e+01 2.430361733212956787e-01 3.774379694646494698e-01 3.068129230876106006e-01 7.440943477660522110e-02
1.800000000000000000e+01 2.575590902984151720e-01 3.669948299639738121e-01 3.073537454868217611e-01 7.382527796517712737e-02
1.900000000000000000e+01 2.483339114698379091e-01 3.814329383585041144e-01 3.142620775684250578e-01 7.864039841364861561e-02
2.000000000000000000e+01 2.472774740050759923e-01 3.806224024942572171e-01 3.101618958634907441e-01 7.579483758391281079e-02
2.100000000000000000e+01 2.495947686921549669e-01 3.741245108334037006e-01 3.074890836091003221e-01 7.418018300420126110e-02
2.200000000000000000e+01 2.440135520130470859e-01 3.837510158831196061e-01 3.106086072103155238e-01 7.597769021514005905e-02
2.300000000000000000e+01 2.510693737691383487e-01 3.838804643101650926e-01 3.147018094936064325e-01 7.860039866150952959e-02
2.400000000000000000e+01 2.430376652879002175e-01 3.778252001437536478e-01 3.060111504145740513e-01 7.360275846456654225e-02
2.500000000000000000e+01 2.534775690056617070e-01 3.775130083779763557e-01 3.125461767539496893e-01 7.669807115365445682e-02
2.600000000000000000e+01 2.480233565813145802e-01 3.782617902163075696e-01 3.102418444065452308e-01 7.598207971940812433e-02
2.700000000000000000e+01 2.489563806251629541e-01 3.835250350392986896e-01 3.132637677625430550e-01 7.781128787755209331e-02
2.800000000000000000e+01 2.495727070180219220e-01 3.781785747490500338e-01 3.105146019351290865e-01 7.618199855580010116e-02
2.900000000000000000e+01 2.564685140840362587e-01 3.782192885824411377e-01 3.138884897616053271e-01 7.724206534543698321e-02
3.000000000000000000e+01 2.468078179851223020e-01 3.859073828539417716e-01 3.148479241848156085e-01 7.941506549735077858e-02
3.100000000000000000e+01 2.563242989373868408e-01 3.736620648239712961e-01 3.098839841808288531e-01 7.461354948016873934e-02
3.200000000000000000e+01 2.463713749642177930e-01 3.869522676187030497e-01 3.137144321600541241e-01 7.838698879991679025e-02
3.300000000000000000e+01 2.575027516731751565e-01 3.851183149889026436e-01 3.156751824730040790e-01 7.793374839496869377e-02
3.400000000000000000e+01 2.466332448653122400e-01 3.771831085051122190e-01 3.075573259590462794e-01 7.416657156758038605e-02
3.500000000000000000e+01 2.556306260011456111e-01 3.831856951031789582e-01 3.176300787652983071e-01 8.094736876010566462e-02
3.600000000000000000e+01 2.444780648000280387e-01 3.792861791887518486e-01 3.078172295084070087e-01 7.432478343717552338e-02
3.700000000000000000e+01 2.541673022281076277e-01 3.821822314406108090e-01 3.158591500199885438e-01 7.883227660483765886e-02
3.800000000000000000e+01 2.447370502790962021e-01 3.793274612700964776e-01 3.106711177316744954e-01 7.691626128722744982e-02
3.900000000000000000e+01 2.572505439039446951e-01 3.762280582123151973e-01 3.105554557733213317e-01 7.463841808623666862e-02
4.000000000000000000e+01 2.456598517372828860e-01 3.849220411185149127e-01 3.132240419839074086e-01 7.800953169862412384e-02
4.100000000000000000e+01 2.552489143783261971e-01 3.806805028440111149e-01 3.135503138189258410e-01 7.715567503613474099e-02
4.200000000000000000e+01 2.513731105464981352e-01 3.768076590680966564e-01 3.105843938090094847e-01 7.581387529582866991e-02
4.300000000000000000e+01 2.504616543214500668e-01 3.893974011320752715e-01 3.173079101344036257e-01 7.973910150624946569e-02
4.400000000000000000e+01 2.530578509260886788e-01 3.770730529387130159e-01 3.103657509424071481e-01 7.550742953947525704e-02
4.500000000000000000e+01 2.586194913108593729e-01 3.686727461548928719e-01 3.118840107258725736e-01 7.699725659652895127e-02
4.600000000000000000e+01 2.540631488083665568e-01 3.709213050813807144e-01 3.087831509125122942e-01 7.518004901962122011e-02
4.700000000000000000e+01 2.491544945431807823e-01 3.847686447677215460e-01 3.136952252013460729e-01 7.776704271168771720e-02
4.800000000000000000e+01 2.527875747953938212e-01 3.810367826492498944e-01 3.125759890769181926e-01 7.650157984120159460e-02
4.900000000000000000e+01 2.503309032429009706e-01 3.721554433052052246e-01 3.079146073518007620e-01 7.460325586734767311e-02
5.000000000000000000e+01 2.471410647476008360e-01 3.849165641823457662e-01 3.124953375644847764e-01 7.703211250238806151e-02
5.100000000000000000e+01 2.481270725085885087e-01 3.818682755870493883e-01 3.116142450363305061e-01 7.664118757259902326e-02
5.200000000000000000e+01 2.497108582460905168e-01 3.754735139865618132e-01 3.082564292869767186e-01 7.449721705441803010e-02
