# step, M, T, PO, AO
0.000000000000000000e+00 2.729796139018185741e-01 3.726493825581459474e-01 3.186660757880307449e-01 7.897003518240353070e-02
1.000000000000000000e+00 2.766114759286509850e-01 3.635758404719500181e-01 3.163538345007212427e-01 7.865242668909638857e-02
2.000000000000000000e+00 2.712066202666220116e-01 3.612444423774361368e-01 3.135496694438078547e-01 7.731072150068779569e-02
3.000000000000000000e+00 2.779859021984758538e-01 3.716315229078517302e-01 3.214224552971767235e-01 8.139738432718274241e-02
4.000000000000000000e+00 2.667450291474239288e-01 3.846122163412824535e-01 3.257486489177364719e-01 8.435680718879340345e-02
5.000000000000000000e+00 2.751881857600387837e-01 3.679337516020725340e-01 3.177376491029569872e-01 7.913183888354885509e-02
6.000000000000000000e+00 2.799729714442550366e-01 3.707835910481376285e-01 3.217545308092891743e-01 8.169636634725108149e-02
7.000000000000000000e+00 2.638939631083369042e-01 3.755046257623950168e-01 3.159082100478157740e-01 7.847285951533478077e-02
8.000000000000000000e+00 2.764394178811506175e-01 3.774460694654030446e-01 3.233616352054950460e-01 8.129846446228927714e-02
9.000000000000000000e+00 2.761963601558866110e-01 3.657916262343033909e-01 3.164720958044424659e-01 7.872261741264374724e-02
1.000000000000000000e+01 2.640586649905904970e-01 3.714746833933470493e-01 3.126940664306560591e-01 7.605936782172451061e-02
1.100000000000000000e+01 2.662670318120583524e-01 3.777329220660165521e-01 3.191505038710319431e-01 8.039246991045784219e-02
1.200000000000000000e+01 2.795263591111332158e-01 3.621099051889956066e-01 3.143524603221126701e-01 7.721698591423958868e-02
1.300000000000000000e+01 2.704518670103120415e-01 3.738706958511778256e-01 3.191786340297056990e-01 7.935019548479599338e-02
1.400000000000000000e+01 2.688408353436855247e-01 3.757580958945695437e-01 3.185569256460490939e-01 7.981420876407874232e-02
1.500000000000000000e+01 2.710317129221275767e-01 3.612962128498220515e-01 3.118783277747957938e-01 7.574288073778756569e-02
1.600000000000000000e+01 2.662543445103763284e-01 3.716569246953476124e-01 3.134348917792413314e-01 7.632389065187122901e-02
1.700000000000000000e+01 2.666371635565513709e-01 3.797118605014117021e-01 3.197197276835352930e-01 8.034445894635322549e-02
1.800000000000000000e+01 2.651237822601920091e-01 3.641803464034440996e-01 3.092564781916625760e-01 7.454013729710523561e-02
1.900000000000000000e+01 2.789656278718004589e-01 3.637239453836174086e-01 3.171609803521349136e-01 7.878470786744723453e-02
2.000000000000000000e+01 2.728900125444237990e-01 3.664410090271498222e-01 3.164573931428852904e-01 7.918272771304885049e-02
2.100000000000000000e+01 2.823793737716090435e-01 3.572548410577768840e-01 3.170856576780454184e-01 7.997513628836550037e-02
2.200000000000000000e+01 2.768414944586313209e-01 3.537496568040460199e-01 3.110005737427299355e-01 7.655024976523117086e-02
2.300000000000000000e+01 2.781902290045978887e-01 3.748826133795495896e-01 3.240196687713609025e-01 8.306226729189908342e-02
2.400000000000000000e+01 2.811364803001045187e-01 3.685382784690779956e-01 3.184627830160728923e-01 7.853009723557835553e-02
2.500000000000000000e+01 2.784284274123816072e-01 3.600166643093257735e-01 3.142328934491477321e-01 7.755900274822907781e-02
2.600000000000000000e+01 2.820414655413779892e-01 3.598063806552600497e-01 3.202888695807591946e-01 8.214983409653642266e-02
2.700000000000000000e+01 2.733147719122124841e-01 3.643505675143311473e-01 3.132064607399706602e-01 7.593014267868025691e-02
2.800000000000000000e+01 2.766506178116209247e-01 3.658630539081451083e-01 3.180342534429174695e-01 7.979000895244930947e-02
2.900000000000000000e+01 2.697328255865072411e-01 3.697974916516441057e-01 3.155702251871724817e-01 7.740024659216704350e-02
3.000000000000000000e+01 2.810586216316635078e-01 3.606661227966372896e-01 3.152366965118437170e-01 7.788517532645178321e-02
3.100000000000000000e+01 2.898634945475118130e-01 3.530245324876630786e-01 3.166104790220944931e-01 7.993004627738348189e-02
3.200000000000000000e+01 2.769780478789201084e-01 3.594615012604129300e-01 3.147416706741428261e-01 7.758562198523755171e-02
3.300000000000000000e+01 2.714294147167053972e-01 3.686044550191415192e-01 3.158545166948081295e-01 7.820664812027416923e-02
3.400000000000000000e+01 2.796699413865086914e-01 3.686927506489471318e-01 3.212969384331224587e-01 8.180558035850732379e-02
3.500000000000000000e+01 2.802930083165136033e-01 3.690576417995888314e-01 3.208904799408827113e-01 8.085597456683990547e-02
3.600000000000000000e+01 2.765177031626465665e-01 3.706730647261360367e-01 3.171144273036036187e-01 7.725290147358049309e-02
3.700000000000000000e+01 2.804721712317391757e-01 3.712473208394011515e-01 3.210213491131855834e-01 8.094239587694218585e-02
3.800000000000000000e+01 2.788156354239382795e-01 3.642774420140956204e-01 3.194616671304885136e-01 8.153332013645059329e-02
3.900000000000000000e+01 2.753287111873222170e-01 3.576081695528379178e-01 3.115185849955504072e-01 7.620052713141411971e-02
4.000000000000000000e+01 2.774768742592987891e-01 3.688272063676672485e-01 3.184975942907009028e-01 7.975275554040645032e-02
4.100000000000000000e+01 2.936708023709817539e-01 3.603655161601684309e-01 3.230373407649803630e-01 8.324739137932268829e-02
4.200000000000000000e+01 2.885355146971357865e-01 3.539340832480722954e-01 3.146200491758812667e-01 7.775892430818259760e-02
4.300000000000000000e+01 2.866757021405835215e-01 3.508686345080582192e-01 3.131462979639809130e-01 7.814070904262959694e-02
4.400000000000000000e+01 2.912470207553600199e-01 3.602531474159036406e-01 3.229307964156302169e-01 8.391816359488352139e-02
4.500000000000000000e+01 2.874735406141757377e-01 3.558332174701106521e-01 3.161584556837588877e-01 7.969744115096738524e-02
4.600000000000000000e+01 2.838125618287219432e-01 3.588223685581909406e-01 3.152919706993677629e-01 7.822841914375200378e-02
4.700000000000000000e+01 2.698616909691363697e-01 3.676807951769317517e-01 3.145083757206825759e-01 7.726121522470719150e-02
4.800000000000000000e+01 2.765646692171385146e-01 3.717762930736200344e-01 3.201970776409197028e-01 8.049131075618626285e-02
