# step, M, T, PO, AO
0.000000000000000000e+00 3.014885747168246088e-01 4.207832004604754039e-01 3.466831678026909280e-01 1.875670023098332528e-01
1.000000000000000000e+00 3.038708076710260331e-01 4.146686068189842644e-01 3.346274316757766876e-01 1.785231016953496286e-01
2.000000000000000000e+00 2.851792838151777643e-01 4.074717012276714567e-01 3.218779457133313926e-01 1.675672245157515117e-01
3.000000000000000000e+00 3.146929184571115590e-01 4.039604878189267390e-01 3.389207740077169184e-01 1.825376320338085723e-01
4.000000000000000000e+00 2.979949717912779295e-01 4.142823917260386457e-01 3.273838889033728328e-01 1.726147738195351611e-01
5.000000000000000000e+00 3.057366255661335686e-01 4.064875183451144292e-01 3.424342594528595463e-01 1.879202300084979460e-01
6.000000000000000000e+00 2.955640789353377595e-01 4.115502739434201418e-01 3.314271047244857771e-01 1.755794692353723763e-01
7.000000000000000000e+00 2.985669326031721305e-01 4.012368186902605105e-01 3.297961713017389940e-01 1.752665021126681988e-01
8.000000000000000000e+00 3.059602516387356363e-01 4.113431114536427735e-01 3.403358717647503306e-01 1.860445413141288973e-01
9.000000000000000000e+00 2.955532438821609764e-01 4.212086088156868358e-01 3.322264758688766584e-01 1.704409719417249724e-01
1.000000000000000000e+01 3.031183601599526378e-01 4.103667166655897702e-01 3.431190558907630250e-01 1.905363528296961095e-01
1.100000000000000000e+01 2.903986909897536273e-01 4.139039965719194525e-01 3.434977643546364146e-01 1.891308506374248521e-01
1.200000000000000000e+01 3.035719584242577151e-01 4.104555046729733703e-01 3.441374945887994974e-01 1.824384368636138287e-01
1.300000000000000000e+01 2.827599365311435076e-01 4.426705522796725578e-01 3.303449092142736743e-01 1.714457691777955817e-01
1.400000000000000000e+01 2.756515256285332338e-01 4.334750219383258774e-01 3.286622389237044972e-01 1.717956279430937205e-01
1.500000000000000000e+01 3.119575773029079069e-01 4.014352680859376576e-01 3.385130755801891711e-01 1.844251391191042422e-01
1.600000000000000000e+01 2.879169502361633715e-01 4.294288196096379684e-01 3.320129702989253473e-01 1.726884657067642714e-01
1.700000000000000000e+01 2.871095936925860959e-01 4.198304581236945165e-01 3.391644863914555774e-01 1.775179239775628859e-01
1.800000000000000000e+01 2.891079037599433299e-01 4.199601539758378022e-01 3.360208472973655880e-01 1.813706031415965869e-01
1.900000000000000000e+01 3.030604422877999915e-01 4.188998640320826805e-01 3.464060509443315228e-01 1.865706597522040489e-01
2.000000000000000000e+01 3.056590799935443581e-01 4.044077594352651905e-01 3.370676901825014338e-01 1.853891147595602140e-01
2.100000000000000000e+01 3.032953343415533132e-01 4.016869746286765297e-01 3.352757316622676509e-01 1.772669590698404685e-01
2.200000000000000000e+01 3.157042302094322794e-01 4.234378395302160203e-01 3.552459318421857803e-01 1.934578050544022987e-01
2.300000000000000000e+01 3.154477430279817307e-01 4.126763554793169142e-01 3.352767688098375887e-01 1.732720323030678689e-01
2.400000000000000000e+01 3.261899080093950687e-01 3.898832605248108707e-01 3.309074905048721704e-01 1.825088863878805978e-01
2.500000000000000000e+01 3.093136937149099097e-01 3.926683864151689907e-01 3.310078148560179345e-01 1.750169314830406497e-01
2.600000000000000000e+01 3.304874134655951812e-01 3.989536723694098175e-01 3.474606884094999515e-01 1.864403799274725326e-01
2.700000000000000000e+01 3.146906795865462847e-01 3.946003861520862022e-01 3.398071276939922392e-01 1.863819741157861642e-01
2.800000000000000000e+01 3.200169106141584896e-01 4.011907244531923711e-01 3.412384861281040349e-01 1.862258701283880380e-01
2.900000000000000000e+01 3.214326938273847079e-01 3.948047993423790536e-01 3.397706859401180557e-01 1.878167730650934786e-01
3.000000000000000000e+01 3.058321063139863849e-01 4.099143181090622035e-01 3.387760054117228137e-01 1.860899138559193311e-01
3.100000000000000000e+01 3.062574440184382962e-01 4.051032806076967363e-01 3.375896583564931275e-01 1.858013166020848761e-01
3.200000000000000000e+01 3.091728506759089945e-01 4.018148279896329167e-01 3.316278114042662817e-01 1.879346517099270142e-01
3.300000000000000000e+01 3.128165864226967186e-01 3.925546573518582938e-01 3.337661592615855932e-01 1.764037301166763161e-01
3.400000000000000000e+01 3.193274770719454203e-01 4.139611115307704203e-01 3.456131722476605272e-01 1.896935927675310052e-01
3.500000000000000000e+01 3.146749349190373080e-01 4.166758925273371106e-01 3.420917939254464191e-01 1.849712306490795544e-01
3.600000000000000000e+01 3.062292264331160085e-01 4.019785788334024890e-01 3.251591867280781423e-01 1.718795021191380501e-01
3.700000000000000000e+01 3.132574805712791677e-01 3.976231098713358114e-01 3.446695992704387201e-01 1.888590204158657748e-01
3.800000000000000000e+01 3.074269041039283668e-01 4.162805586318006901e-01 3.450800514857106371e-01 1.810930016050265046e-01
3.900000000000000000e+01 2.959294140740008627e-01 4.204408438615110377e-01 3.348044708123346647e-01 1.708569128574830565e-01
4.000000000000000000e+01 2.925817458139098326e-01 4.245526183265313502e-01 3.355109808525170711e-01 1.751739820543156134e-01
4.100000000000000000e+01 3.035529689608225112e-01 4.045483697357291630e-01 3.388989724050135433e-01 1.821117285343976100e-01
4.200000000000000000e+01 3.023183038148246071e-01 3.978804764174451725e-01 3.254636510927333415e-01 1.730838746385518490e-01
4.300000000000000000e+01 2.956722144856694934e-01 4.118906499550721856e-01 3.339918537367126961e-01 1.744512864418429343e-01
4.400000000000000000e+01 2.770332499244749780e-01 4.263486229018854101e-01 3.408169080933978190e-01 1.814494024564257679e-01
4.500000000000000000e+01 2.915838548664066998e-01 4.251413314761549600e-01 3.466737758268025882e-01 1.790163895883608025e-01
4.600000000000000000e+01 2.864047498880072928e-01 4.311533411818264661e-01 3.412637489624956721e-01 1.761626269280429646e-01
4.700000000000000000e+01 2.913570403788819929e-01 4.262843561026250505e-01 3.304794797008838714e-01 1.719599943960685717e-01
4.800000000000000000e+01 3.009927737880515042e-01 4.284289514236018781e-01 3.386848263981852014e-01 1.741481615995185139e-01
4.900000000000000000e+01 2.713656496564451626e-01 4.363651815302063697e-01 3.222631711150243383e-01 1.613762160491379327e-01
5.000000000000000000e+01 2.950907462072264176e-01 4.247155135797403003e-01 3.445044027372310969e-01 1.824560209959270041e-01
5.100000000000000000e+01 2.821061181812308805e-01 4.222323053601950149e-01 3.261217029856307015e-01 1.686548167344579241e-01
5.200000000000000000e+01 3.049942218535457439e-01 3.821413463578579028e-01 3.427449955723245179e-01 1.914483243593659290e-01
5.300000000000000000e+01 3.093950143976385014e-01 4.095517874912815715e-01 3.353000683070201382e-01 1.769826671458051837e-01
5.400000000000000000e+01 3.118015340552010572e-01 3.992252845117180149e-01 3.358880994538901987e-01 1.823516433131309178e-01
5.500000000000000000e+01 3.215586262289200636e-01 3.944882826075288285e-01 3.495448760520049603e-01 1.922216049313156261e-01
5.600000000000000000e+01 3.033264529899451500e-01 3.906575242246456692e-01 3.396638012236288251e-01 1.831870559079672445e-01
5.700000000000000000e+01 2.839659591720767873e-01 4.104794016333515039e-01 3.402288412509859583e-01 1.865093579491989284e-01
5.800000000000000000e+01 3.009715643245769456e-01 4.198703455629359538e-01 3.407308661406108774e-01 1.845535019023669676e-01
5.900000000000000000e+01 2.961579516668118583e-01 4.113161983706024039e-01 3.323498537665757757e-01 1.817972258375540329e-01
6.000000000000000000e+01 2.907289238135586373e-01 4.103362894572318842e-01 3.368173574908694401e-01 1.838434104429301219e-01
6.100000000000000000e+01 2.995897426136516217e-01 4.154178764448958616e-01 3.350503669765141357e-01 1.766396731807417519e-01
6.200000000000000000e+01 2.804081700189102189e-01 4.206800027621413474e-01 3.208002324883582057e-01 1.670220688132289522e-01
6.300000000000000000e+01 3.080440626491263711e-01 4.239015186185567385e-01 3.538536560730468628e-01 1.907804058451119111e-01
6.400000000000000000e+01 2.797759730298010061e-01 4.285431404744925454e-01 3.270037586011028674e-01 1.672542573904861607e-01
6.500000000000000000e+01 2.948279997643162842e-01 4.136232135717633485e-01 3.284073237325004779e-01 1.676218400642442985e-01
6.600000000000000000e+01 2.991607512167982486e-01 4.076234656269097090e-01 3.356715272725678822e-01 1.811130721519066400e-01
6.700000000000000000e+01 2.837395478442318875e-01 4.098225179703974819e-01 3.347707202888350331e-01 1.772821271763231898e-01
6.800000000000000000e+01 2.986719931452582744e-01 4.020273182804112166e-01 3.321267256661577516e-01 1.801431030434240688e-01
6.900000000000000000e+01 3.017388079621992625e-01 4.080943493413066725e-01 3.398755866053675412e-01 1.830870750929708968e-01
7.000000000000000000e+01 3.045563503579912790e-01 4.039226807461699931e-01 3.282058730598119700e-01 1.779406229395058547e-01
7.100000000000000000e+01 2.671464666569798307e-01 4.387353998035224967e-01 3.294367334459708530e-01 1.751345816020482560e-01
7.200000000000000000e+01 2.964892300439297412e-01 4.212427695634971547e-01 3.450826877282674454e-01 1.855886253012211662e-01
7.300000000000000000e+01 2.898531086974243109e-01 4.176303071040121662e-01 3.247754649307875718e-01 1.654046802932770399e-01
7.400000000000000000e+01 2.838979271267777493e-01 4.273110995171267024e-01 3.240373676459438190e-01 1.722431602567923714e-01
7.500000000000000000e+01 2.966079847376868472e-01 4.189799861072068810e-01 3.392324817533595160e-01 1.803854518665148343e-01
7.600000000000000000e+01 3.131190240529756474e-01 4.101856005492453550e-01 3.486286362101896352e-01 1.870631350653013114e-01
7.700000000000000000e+01 3.088100830244810413e-01 4.220982383610449862e-01 3.536486827293598978e-01 1.932941635864516283e-01
7.800000000000000000e+01 2.958914245266619503e-01 4.262026913572257159e-01 3.312189763204548276e-01 1.735989486485361444e-01
7.900000000000000000e+01 2.869336348739084386e-01 4.185009458954316308e-01 3.435234143905598891e-01 1.841648710540561562e-01
8.000000000000000000e+01 2.862229707177866844e-01 4.253682753358517532e-01 3.303185943644945111e-01 1.745487181202422522e-01
8.100000000000000000e+01 2.911656058276253511e-01 4.210794798965421526e-01 3.343251335755995646e-01 1.760450505174501745e-01
