# step, M, T, PO, AO
0.000000000000000000e+00 2.652167553870311556e-01 3.767268729416130557e-01 3.173925213829220660e-01 7.871343132665753473e-02
1.000000000000000000e+00 2.623491338309949517e-01 3.802954070371413198e-01 3.161834490612718263e-01 7.777071500043736263e-02
2.000000000000000000e+00 2.725361772489315326e-01 3.728000992869079377e-01 3.163095667838232150e-01 7.737947643256115615e-02
3.000000000000000000e+00 2.684497029692965442e-01 3.777844951599989010e-01 3.181719957508566399e-01 7.943674149309898347e-02
4.000000000000000000e+00 2.586636370757718906e-01 3.732507001635401167e-01 3.112529748476437486e-01 7.537913612797392249e-02
5.000000000000000000e+00 2.717140185085911153e-01 3.823449658047370914e-01 3.214685878846797462e-01 8.029392267903517899e-02
6.000000000000000000e+00 2.643984070937960285e-01 3.787400572976642454e-01 3.174046837629685980e-01 7.879276158219600257e-02
7.000000000000000000e+00 2.641824173781341933e-01 3.776608454542799698e-01 3.156690503187650210e-01 7.761116859831124204e-02
8.000000000000000000e+00 2.570781324610599272e-01 3.774244007789836486e-01 3.151071079401525088e-01 7.820078389646417660e-02
9.000000000000000000e+00 2.626251985636664510e-01 3.754091471200464714e-01 3.149774984609879924e-01 7.801574673465733190e-02
1.000000000000000000e+01 2.545787590150783153e-01 3.780053669173631392e-01 3.105280861337706977e-01 7.461414903107532748e-02
1.100000000000000000e+01 2.635924426184587110e-01 3.784986317886551155e-01 3.158788372753137397e-01 7.760678822822719702e-02
1.200000000000000000e+01 2.590636682796925716e-01 3.820374663667359671e-01 3.174996206414425481e-01 7.900231569696719580e-02
1.300000000000000000e+01 2.564246151218499969e-01 3.707776860883928993e-01 3.103255811974124923e-01 7.562293294406768895e-02
1.400000000000000000e+01 2.645234193115182930e-01 3.699408282539886073e-01 3.122651575258040824e-01 7.579349718547212511e-02
1.500000000000000000e+01 2.552081598722995004e-01 3.853753950138721907e-01 3.164162099656777083e-01 7.878968607505831834e-02
