# step, M, T, PO, AO
0.000000000000000000e+00 2.734259956998680852e-01 3.803270943578362373e-01 3.230630052649778872e-01 8.185739025758959064e-02
1.000000000000000000e+00 2.857131174260576501e-01 3.677706464508623263e-01 3.215160268369595675e-01 8.107751714768651752e-02
2.000000000000000000e+00 2.723074855838141239e-01 3.594485994333648238e-01 3.093857241360858934e-01 7.420927862278531295e-02
3.000000000000000000e+00 2.711455154126702904e-01 3.696188306372467647e-01 3.177613649323108302e-01 7.917808485286420561e-02
4.000000000000000000e+00 2.646073802414537490e-01 3.884020617105818918e-01 3.227714649301679506e-01 8.165315557321534135e-02
5.000000000000000000e+00 2.637456711934773601e-01 3.833169897023263051e-01 3.177449796750824729e-01 7.814792497397737847e-02
6.000000000000000000e+00 2.591914232699595866e-01 3.801158688112409867e-01 3.162697764631273722e-01 7.861798154958088425e-02
7.000000000000000000e+00 2.628537881580902402e-01 3.763801959577507406e-01 3.157500335849144912e-01 7.736500078348756970e-02
8.000000000000000000e+00 2.586857935135703501e-01 3.852768667791386936e-01 3.187571863917509907e-01 8.013430916698793816e-02
9.000000000000000000e+00 2.604283849950692620e-01 3.763881806724589385e-01 3.144841878938692270e-01 7.721685248106757715e-02
1.000000000000000000e+01 2.724341504556562210e-01 3.703259599749360587e-01 3.181421567132953765e-01 7.962820581091251126e-02
1.100000000000000000e+01 2.604426740639794735e-01 3.801739620139054088e-01 3.160335749564697760e-01 7.866163012614357797e-02
1.200000000000000000e+01 2.641797597933318587e-01 3.809735252234006664e-01 3.187029708806623507e-01 7.966140561604950765e-02
1.300000000000000000e+01 2.595654616703851336e-01 3.768750160128138127e-01 3.127936430385263589e-01 7.641030903670625873e-02
1.400000000000000000e+01 2.668447397689675538e-01 3.827186228949595037e-01 3.209309099048035518e-01 8.064796209697450147e-02
1.500000000000000000e+01 2.525992735332230898e-01 3.775398759547349270e-01 3.123066812820947669e-01 7.652898007164693484e-02
1.600000000000000000e+01 2.645874399177523539e-01 3.752200299674421924e-01 3.147910553398362010e-01 7.731313398569594764e-02
1.700000000000000000e+01 2.548578174120460504e-01 3.787908298941503604e-01 3.137227321258860835e-01 7.778212305690518358e-02
1.800000000000000000e+01 2.592475783950064505e-01 3.820740035673894641e-01 3.156564329746213149e-01 7.741273721577346389e-02
1.900000000000000000e+01 2.670189730816644458e-01 3.796584202223209914e-01 3.181702866825626419e-01 7.960312304107508563e-02
2.000000000000000000e+01 2.540115930161271351e-01 3.752928028115678494e-01 3.106409374408736213e-01 7.556078649280745241e-02
2.100000000000000000e+01 2.675869106798808850e-01 3.766552930176428338e-01 3.178782003128044487e-01 7.912029902964839989e-02
2.200000000000000000e+01 2.601129145522417807e-01 3.659692111379052593e-01 3.086264784853078869e-01 7.498852584338888683e-02
2.300000000000000000e+01 2.609937765300910373e-01 3.790820811765538423e-01 3.184255266026301268e-01 8.039762247464093958e-02
2.400000000000000000e+01 2.678876646810050555e-01 3.816069208384117450e-01 3.203702064892198775e-01 8.001860152457745956e-02
2.500000000000000000e+01 2.737399574386309431e-01 3.672030799518516408e-01 3.147822621801000254e-01 7.770635831279543160e-02
2.600000000000000000e+01 2.668225733257751919e-01 3.790843911548368306e-01 3.172097603149598988e-01 7.835399755659172571e-02
2.700000000000000000e+01 2.650488698581095481e-01 3.813767778077507553e-01 3.198558619989599894e-01 8.028493929111396588e-02
2.800000000000000000e+01 2.660357949330788285e-01 3.721042918305646485e-01 3.136353362462407368e-01 7.658246291632214708e-02
2.900000000000000000e+01 2.669494117591474924e-01 3.780989339956786766e-01 3.179526725264077980e-01 7.884610698765415204e-02
3.000000000000000000e+01 2.547479047970098720e-01 3.868906578493323534e-01 3.162883701715516471e-01 7.831089951777564506e-02
3.100000000000000000e+01 2.698434635370160484e-01 3.752004199504866411e-01 3.161900316162126190e-01 7.758669802293988171e-02
