# step, M, T, PO, AO
0.000000000000000000e+00 2.602921082149559640e-01 3.754414324207336895e-01 3.127038333708836992e-01 7.554166216388724653e-02
1.000000000000000000e+00 2.748251706534832195e-01 3.785598321488708451e-01 3.200814462220963330e-01 7.976848394163493783e-02
2.000000000000000000e+00 2.454553063570614202e-01 3.815222028373517205e-01 3.132470244294500716e-01 7.911717175277849234e-02
3.000000000000000000e+00 2.685244578021533934e-01 3.749390328601946987e-01 3.163440016415597911e-01 7.769771162794869568e-02
4.000000000000000000e+00 2.709334573284445935e-01 3.717719133118799757e-01 3.179371087664860651e-01 8.016705499006365754e-02
5.000000000000000000e+00 2.548939914292531750e-01 3.708796408707378811e-01 3.098240730017890465e-01 7.563772839553190019e-02
6.000000000000000000e+00 2.614003970883181927e-01 3.830290603055153120e-01 3.177132417098560424e-01 7.875120480269448553e-02
7.000000000000000000e+00 2.450894926753721670e-01 3.861039477026686484e-01 3.139063088717403693e-01 7.863185008396422759e-02
8.000000000000000000e+00 2.632337598109945054e-01 3.703105871403833405e-01 3.122846957335137508e-01 7.576217565012571820e-02
9.000000000000000000e+00 2.511815219126711241e-01 3.786248792216401204e-01 3.111580613807722884e-01 7.615279090104326576e-02
1.000000000000000000e+01 2.471189865382611428e-01 3.809620776143801679e-01 3.106914973191734486e-01 7.647722524524241949e-02
1.100000000000000000e+01 2.543185432458378026e-01 3.839261335290649613e-01 3.145455362019421441e-01 7.810141614882887273e-02
1.200000000000000000e+01 2.451805376101552914e-01 3.820804480645810797e-01 3.104307837381551916e-01 7.669903703309999266e-02
1.300000000000000000e+01 2.632619591008800164e-01 3.783055971340213985e-01 3.167300044300850326e-01 7.845851395412334339e-02
1.400000000000000000e+01 2.490817618656100407e-01 3.753138235647641707e-01 3.096051133010947476e-01 7.597168311824559206e-02
1.500000000000000000e+01 2.539224143246006649e-01 3.826310810951162322e-01 3.139580510041130590e-01 7.737737013312517842e-02
1.600000000000000000e+01 2.522753711932259613e-01 3.767936668906772812e-01 3.108137503457252260e-01 7.613240478518989995e-02
1.700000000000000000e+01 2.573917319391910707e-01 3.689268761168679189e-01 3.094769004226368692e-01 7.515852198228217818e-02
1.800000000000000000e+01 2.530747701889268786e-01 3.748785349187273575e-01 3.113957352576334769e-01 7.629981494074183912e-02
1.900000000000000000e+01 2.510106331913958266e-01 3.866954017636131113e-01 3.141280022121900606e-01 7.752706525008767890e-02
2.000000000000000000e+01 2.466052980973284514e-01 3.811754042537432441e-01 3.105940611532629347e-01 7.597477102473093602e-02
2.100000000000000000e+01 2.575941290198965339e-01 3.753707683392480399e-01 3.138762530945265472e-01 7.764762046517081906e-02
2.200000000000000000e+01 2.520686253839439228e-01 3.824156468711749635e-01 3.129149628985853360e-01 7.658342251245892074e-02
2.300000000000000000e+01 2.518884742907552821e-01 3.827406710863207051e-01 3.139402178246221142e-01 7.751444189149120367e-02
2.400000000000000000e+01 2.602868848194329621e-01 3.718348864413142385e-01 3.113164469747460861e-01 7.563098729383516128e-02
2.500000000000000000e+01 2.656336372108346056e-01 3.616183539847988015e-01 3.090188393642601117e-01 7.493692948134506038e-02
2.600000000000000000e+01 2.543247620614904614e-01 3.723097532831031731e-01 3.099247120520080556e-01 7.543969363051300503e-02
2.700000000000000000e+01 2.471801738108671542e-01 3.891603127532439754e-01 3.158246930512769168e-01 7.941567291149881358e-02
2.800000000000000000e+01 2.571386336472775702e-01 3.771814509284688866e-01 3.125921131768166217e-01 7.621151665827985422e-02
2.900000000000000000e+01 2.548547169933559897e-01 3.649280368874004421e-01 3.071487541896843476e-01 7.465280344009672664e-02
3.000000000000000000e+01 2.548855793191516783e-01 3.831548175520322896e-01 3.167657250612150865e-01 7.914564757426134634e-02
3.100000000000000000e+01 2.526446355240978825e-01 3.932585798172335556e-01 3.193440901634667650e-01 8.045761106950005681e-02
3.200000000000000000e+01 2.492618548046259819e-01 3.769076404459859031e-01 3.087624854463759672e-01 7.458570763316607621e-02
3.300000000000000000e+01 2.566001403277752280e-01 3.705225714876300147e-01 3.122256116324088615e-01 7.723216372702462751e-02
3.400000000000000000e+01 2.470500994972373854e-01 3.810253978987787615e-01 3.101442076981396623e-01 7.571021583321868587e-02
3.500000000000000000e+01 2.535685755512365747e-01 3.813845012259401979e-01 3.116763101825503202e-01 7.547740407026598541e-02
3.600000000000000000e+01 2.544629372840697679e-01 3.787985289192645766e-01 3.145896840467053979e-01 7.875154623375713037e-02
3.700000000000000000e+01 2.560554344058638132e-01 3.676708569738181276e-01 3.091938583202764601e-01 7.522504641149702076e-02
3.800000000000000000e+01 2.514993136265631923e-01 3.804681815426853020e-01 3.130317269160780569e-01 7.734425410188011663e-02
3.900000000000000000e+01 2.491734990188889665e-01 3.864594667613117651e-01 3.144919373507722438e-01 7.859278546418752009e-02
4.000000000000000000e+01 2.520413291663290423e-01 3.708735462466046795e-01 3.061690499924071274e-01 7.275969142168409176e-02
4.100000000000000000e+01 2.497199840715130792e-01 3.781657206367355362e-01 3.113362904312989565e-01 7.713279914461496078e-02
